Date,Open,High,Low,Close,Adj Close,Volume,Dividend
2023-11-21,152.64,152.64,152.64,152.64,144.31,15.0,0.0
2023-11-23,155.34,155.34,155.34,155.34,146.86,5.0,0.0
2023-11-28,154.2,154.2,154.2,154.2,145.79,35.0,0.0
2023-11-29,159.08,159.08,154.14,154.14,145.73,26.0,0.0
2023-11-30,152.1,152.68,152.1,152.68,144.35,40.0,0.0
2023-12-06,155.82,155.82,155.82,154.9,146.45,7.0,0.0
2023-12-11,154.8,154.8,154.8,155.96,147.45,80.0,0.0
2023-12-12,156.16,156.16,156.16,156.0,147.49,65.0,0.0
2023-12-15,154.8,154.8,153.4,153.78,145.39,40.0,0.0
2023-12-19,153.46,153.46,153.46,153.28,144.92,35.0,0.0
2023-12-20,153.0,153.0,153.0,151.86,143.57,7.0,0.0
2023-12-22,152.14,152.14,152.14,152.44,144.12,7.0,0.0
2023-12-27,158.5,158.5,158.5,152.14,143.84,19.0,0.0
2023-12-28,152.5,152.5,152.5,152.76,144.43,7.0,0.0
2023-12-29,158.56,158.56,158.56,153.54,145.16,7.0,0.0
2024-01-02,154.68,154.68,154.68,157.26,148.68,29.0,0.0
2024-01-04,158.3,158.3,157.16,158.06,149.44,63.0,0.0
2024-01-09,154.96,154.96,154.96,152.48,144.16,7.0,0.0
2024-01-10,152.9,152.9,152.0,152.24,143.93,33.0,0.0
2024-01-11,151.9,151.9,151.9,150.9,142.67,10.0,0.0
2024-01-12,152.1,152.1,151.78,151.78,143.5,25.0,0.0
2024-01-16,154.04,154.04,154.04,152.84,144.5,5.0,0.0
2024-01-18,153.24,153.24,152.26,153.02,144.67,39.0,0.0
2024-01-22,152.6,152.6,152.6,152.32,144.01,70.0,0.0
2024-01-25,153.18,153.18,153.18,152.52,144.2,7.0,0.0
2024-01-29,154.14,155.56,154.14,155.4,146.92,28.0,0.0
2024-01-30,155.3,155.3,155.3,155.3,146.83,13.0,0.0
2024-01-31,156.76,156.76,156.76,156.5,147.96,45.0,0.0
2024-02-02,158.0,158.0,156.88,157.86,149.25,126.0,0.0
2024-02-05,159.38,159.38,159.38,159.22,150.53,50.0,0.0
2024-02-08,159.92,159.92,159.92,160.86,152.08,2.0,0.0
2024-02-09,163.4,163.4,155.0,156.52,147.98,663.0,0.0
2024-02-12,156.42,156.42,156.42,156.28,147.75,2.0,0.0
2024-02-13,158.52,158.52,157.32,156.76,148.21,20.0,0.0
2024-02-14,158.3,158.3,158.3,155.82,147.32,13.0,0.0
2024-02-15,156.1,156.1,155.92,155.74,147.24,14.0,0.0
2024-02-16,156.28,156.28,155.5,154.56,146.13,41.0,0.0
2024-02-19,160.24,160.24,160.24,155.38,146.9,33.0,0.0
2024-02-22,155.0,155.0,154.5,154.7,146.26,66.0,0.0
2024-02-23,156.1,156.1,156.1,157.18,148.6,13.0,0.0
2024-02-26,155.52,155.52,155.46,155.68,147.19,79.0,0.0
2024-02-27,154.94,154.94,154.94,154.64,146.2,3.0,0.0
2024-02-28,154.7,154.7,154.7,154.28,145.86,22.0,0.0
2024-02-29,,,,,,,1.090936
2024-03-01,152.44,152.44,152.44,151.46,144.38,13.0,0.0
2024-03-04,157.14,157.14,151.0,152.02,144.91,45.0,0.0
2024-03-06,150.3,150.3,149.92,149.86,142.85,8.0,0.0
2024-03-07,149.26,149.76,149.26,149.22,142.24,12.0,0.0
2024-03-08,149.26,149.26,148.58,149.64,142.65,44.0,0.0
2024-03-11,149.98,149.98,149.98,150.06,143.05,5.0,0.0
2024-03-13,150.26,150.6,150.26,151.74,144.65,15.0,0.0
2024-03-19,158.6,158.6,158.6,157.74,150.37,2.0,0.0
2024-03-20,158.38,158.38,158.38,157.82,150.44,14.0,0.0
2024-03-21,158.38,158.38,158.38,159.06,151.62,16.0,0.0
2024-03-25,159.74,159.74,158.54,159.22,151.78,29.0,0.0
2024-03-28,161.54,162.28,161.54,162.42,154.83,20.0,0.0
2024-04-03,157.4,157.46,157.4,157.1,149.76,428.0,0.0
2024-04-04,155.94,159.94,155.94,157.4,150.04,217.0,0.0
2024-04-09,156.0,156.0,156.0,156.18,148.88,3.0,0.0
2024-04-17,158.54,159.0,158.54,158.32,150.92,290.0,0.0
2024-04-22,164.0,164.62,164.0,165.24,157.52,32.0,0.0
2024-04-23,164.28,165.18,161.52,161.44,153.89,78.0,0.0
2024-04-24,162.44,162.44,162.44,163.22,155.59,30.0,0.0
2024-04-25,165.62,166.3,165.62,165.6,157.86,119.0,0.0
2024-04-29,164.48,164.48,163.92,163.56,155.91,94.0,0.0
2024-04-30,164.14,164.14,164.14,164.32,156.64,1.0,0.0
2024-05-06,162.78,162.78,162.78,162.94,155.32,50.0,0.0
2024-05-10,165.74,165.98,165.74,166.26,158.49,60.0,0.0
2024-05-13,167.64,167.7,167.64,167.26,159.44,40.0,0.0
2024-05-17,169.54,175.06,169.54,168.44,160.57,100.0,0.0
2024-05-20,166.84,166.84,166.84,166.46,158.68,12.0,0.0
2024-05-28,165.28,165.28,160.6,159.06,151.62,28.0,0.0
2024-05-29,158.8,159.58,158.8,158.88,151.45,16.0,0.0
2024-05-31,157.58,157.58,157.58,156.94,149.6,5.0,0.0
2024-06-03,158.0,158.0,158.0,157.6,150.23,6.0,0.0
2024-06-04,160.32,160.32,158.84,158.86,151.43,17.0,0.0
2024-06-07,158.7,158.7,158.7,158.98,152.85,38.0,1.168552
2024-06-10,160.86,160.86,160.86,154.7,148.74,13.0,0.0
2024-06-11,155.14,155.14,155.14,153.5,147.58,6.0,0.0
2024-06-12,152.3,152.3,151.5,151.0,145.18,75.0,0.0
2024-06-13,152.72,152.72,150.5,151.46,145.62,104.0,0.0
2024-06-14,151.74,152.9,151.74,153.28,147.37,23.0,0.0
2024-06-17,153.94,153.94,153.68,153.62,147.7,70.0,0.0
2024-06-18,155.62,155.62,154.0,154.78,148.81,42.0,0.0
2024-06-20,155.0,155.38,154.9,156.18,150.16,94.0,0.0
2024-06-21,155.32,155.32,155.32,156.42,150.39,4.0,0.0
2024-06-24,155.96,156.62,155.9,156.28,150.26,135.0,0.0
2024-06-25,157.66,162.32,157.0,156.76,150.72,165.0,0.0
2024-06-28,155.14,155.14,155.04,154.2,148.26,12.0,0.0
2024-07-02,153.12,153.12,153.12,152.0,146.14,15.0,0.0
