Date,Open,High,Low,Close,Adj Close,Volume,Dividend
2000-01-03,339.75,344.0,316.5,317.5,120.47,814220.0,0.0
2000-01-04,317.5,320.0,311.51,317.5,120.47,759342.0,0.0
2000-01-05,312.25,332.5,310.55,316.0,119.9,1052661.0,0.0
2000-01-06,325.0,332.5,320.5,329.0,124.84,599172.0,0.0
2000-01-07,331.0,341.0,328.5,338.15,128.31,1053412.0,0.0
2000-01-10,344.8,346.1,336.55,340.1,129.05,858160.0,0.0
2000-01-11,340.25,340.25,334.5,337.0,127.87,699955.0,0.0
2000-01-12,333.0,339.7,332.5,338.5,128.44,574512.0,0.0
2000-01-13,340.0,347.9,336.2,344.0,130.53,958670.0,0.0
2000-01-14,345.0,373.0,345.0,371.35,140.91,1404212.0,0.0
2000-01-17,371.0,379.0,368.11,369.4,140.17,761998.0,0.0
2000-01-18,370.4,370.4,357.05,359.23,136.31,674580.0,0.0
2000-01-19,356.1,364.0,352.1,360.0,136.6,794630.0,0.0
2000-01-20,361.0,364.95,356.6,360.9,136.94,441072.0,0.0
2000-01-21,358.0,361.0,350.01,351.5,133.38,633487.0,0.0
2000-01-24,351.9,357.37,346.5,347.0,131.67,431695.0,0.0
2000-01-25,344.9,344.99,333.5,333.5,126.55,744767.0,0.0
2000-01-26,337.25,344.1,331.11,342.0,129.77,506894.0,0.0
2000-01-27,345.0,352.0,344.98,351.9,133.53,493862.0,0.0
2000-01-28,351.0,357.9,344.5,349.42,132.59,411507.0,0.0
2000-01-31,343.0,344.9,335.5,335.8,127.42,561054.0,0.0
2000-02-01,340.0,341.0,334.1,338.2,128.33,532923.0,0.0
2000-02-02,340.7,340.8,333.8,337.0,127.87,638876.0,0.0
2000-02-03,337.0,340.25,333.5,337.0,127.87,597104.0,0.0
2000-02-04,338.38,339.5,333.33,339.0,128.63,458640.0,0.0
2000-02-07,338.0,342.99,333.0,341.9,129.73,514632.0,0.0
2000-02-08,342.8,346.5,333.6,340.2,129.09,489248.0,0.0
2000-02-09,341.5,358.95,336.75,352.35,133.7,922618.0,0.0
2000-02-10,349.4,365.0,348.0,365.0,138.5,777137.0,0.0
2000-02-11,368.9,377.75,365.05,372.0,141.15,1382502.0,0.0
2000-02-14,367.5,381.0,367.5,374.99,142.29,709285.0,0.0
2000-02-15,376.0,381.85,371.0,371.0,140.77,688237.0,0.0
2000-02-16,376.0,376.5,360.57,369.0,140.02,917107.0,0.0
2000-02-17,365.11,369.0,345.5,354.0,134.32,1453951.0,0.0
