Date,Dividend,Open,High,Low,Close,Adj Close,Volume
2000-01-04,0.0,415.0,420.0,404.0,408.5,404.46,12310650.0
2000-01-05,0.0,413.0,414.0,397.0,401.25,397.28,11922681.0
2000-01-06,0.0,402.0,410.0,396.0,404.75,400.75,11947304.0
2000-01-07,0.0,403.0,419.0,383.0,388.25,384.41,10992815.0
2000-01-10,0.0,396.5,401.8,378.0,380.25,376.49,7908267.0
2000-01-11,0.0,396.0,396.0,358.0,360.5,356.94,17707128.0
2000-01-12,0.0,363.5,378.0,355.0,357.5,353.97,12590930.0
2000-01-13,0.0,368.5,371.5,348.0,352.75,349.26,11672911.0
2000-01-14,0.0,368.5,369.3,341.0,351.0,347.53,19384872.0
2000-01-17,0.0,349.7,364.0,345.0,349.25,345.8,8630763.0
2000-01-18,0.0,346.0,358.5,338.0,341.5,338.12,15885531.0
2000-01-19,0.0,349.5,357.8,329.5,344.0,340.6,24883972.0
2000-01-20,0.0,336.5,369.0,336.5,364.25,360.65,30703476.0
2000-01-21,0.0,368.0,375.0,357.0,364.25,360.65,21316756.0
2000-01-24,0.0,368.0,368.0,336.0,345.25,341.84,10079528.0
2000-01-25,0.0,349.5,354.0,321.0,331.25,327.98,15624879.0
2000-01-26,0.0,330.0,345.0,330.0,343.25,339.86,16060076.0
2000-01-27,0.0,341.5,344.0,330.8,336.5,333.17,16745029.0
2000-01-28,0.0,336.0,353.8,336.0,343.0,339.61,9885393.0
2000-01-31,0.0,347.5,347.5,328.0,332.0,328.72,7118718.0
2000-02-01,0.0,335.3,341.0,332.3,334.25,330.95,13419200.0
2000-02-02,0.0,334.7,346.0,332.3,341.0,337.63,11352390.0
2000-02-03,0.0,342.0,350.0,333.0,335.75,332.43,24036704.0
2000-02-04,0.0,335.0,348.0,330.0,330.25,326.99,17268636.0
2000-02-07,0.0,334.0,336.5,303.5,306.75,303.72,19645780.0
2000-02-08,0.0,306.8,321.0,299.0,301.25,298.27,30074180.0
2000-02-09,0.0,301.3,310.5,292.0,307.25,304.21,16993724.0
2000-02-10,0.0,314.0,319.8,292.5,303.5,300.5,16572842.0
2000-02-11,0.0,300.0,311.0,290.0,305.25,302.23,15047479.0
2000-02-14,0.0,301.4,317.0,301.4,314.75,311.64,20281452.0
2000-02-15,0.0,322.0,322.0,310.0,315.25,312.13,17872768.0
2000-02-16,0.0,315.0,316.5,312.0,315.0,311.89,16836034.0
2000-02-17,0.0,319.0,324.5,306.0,317.25,314.11,17383276.0
2000-02-18,0.0,312.0,332.0,312.0,327.25,324.02,17014584.0
2000-02-21,0.0,317.8,335.0,311.0,312.75,309.66,11102504.0
2000-02-22,0.0,310.0,320.0,310.0,312.5,309.41,14297265.0
