Date,Open,High,Low,Close,Adj Close,Volume,Dividend
2000-01-03,26.35,26.60,24.80,25.60,8.54,3137354.0,0.0
2000-01-04,24.90,24.90,23.86,24.88,8.29,4489508.0,0.0
2000-01-05,23.47,23.75,22.96,23.92,7.98,4809958.0,0.0
2000-01-06,23.39,24.17,23.14,24.01,8.01,3306128.0,0.0
2000-01-07,24.27,25.17,23.90,25.00,8.34,4621272.0,0.0
2000-01-10,25.55,25.62,24.80,25.11,8.37,2576028.0,0.0
2000-01-11,25.02,25.02,23.88,24.00,8.00,4773052.0,0.0
2000-01-12,23.88,24.20,23.63,24.00,8.00,2351408.0,0.0
2000-01-13,23.92,24.30,23.45,23.75,7.92,2482930.0,0.0
2000-01-14,23.94,24.24,23.70,23.75,7.92,2784548.0,0.0
2000-01-17,23.80,24.32,23.80,23.93,7.98,2656820.0,0.0
2000-01-18,23.97,24.24,23.70,23.98,7.99,2739182.0,0.0
2000-01-19,23.83,24.99,23.81,24.92,8.31,4004404.0,0.0
2000-01-20,24.95,25.00,24.42,24.70,8.24,2205138.0,0.0
2000-01-21,24.40,24.58,23.75,24.02,8.01,3534942.0,0.0
2000-01-24,24.05,24.17,23.41,23.59,7.87,1889060.0,0.0
2000-01-25,23.38,23.40,22.63,22.63,7.54,3323216.0,0.0
2000-01-26,22.90,23.08,21.75,22.01,7.34,4562228.0,0.0
2000-01-27,22.01,22.50,21.66,22.27,7.43,4552184.0,0.0
2000-01-28,22.42,22.99,21.98,22.63,7.54,2828366.0,0.0
2000-01-31,22.45,22.45,21.75,22.02,7.34,3176436.0,0.0
2000-02-01,22.39,22.39,20.91,21.01,7.01,5474216.0,0.0
2000-02-02,21.50,22.50,21.13,22.50,7.50,4979456.0,0.0
2000-02-03,22.50,23.09,21.70,21.83,7.28,5097152.0,0.0
2000-02-04,21.93,22.24,21.16,21.53,7.18,3334640.0,0.0
2000-02-07,21.40,21.45,20.61,20.88,6.96,3709496.0,0.0
2000-02-08,21.08,21.64,20.88,21.52,7.18,4316328.0,0.0
2000-02-09,21.75,22.70,21.46,21.55,7.19,4573714.0,0.0
2000-02-10,21.40,22.00,21.05,22.00,7.34,3617828.0,0.0
2000-02-11,22.00,22.73,21.52,22.07,7.36,5987866.0,0.0
2000-02-14,21.88,22.48,21.30,21.60,7.20,2983316.0,0.0
2000-02-15,21.73,21.83,20.50,20.50,6.83,3644370.0,0.0
2000-02-16,21.00,22.00,20.91,22.00,7.33,4771744.0,0.0
2000-02-17,22.19,23.44,22.05,23.25,7.75,5374480.0,0.0
2000-02-18,23.50,24.05,23.35,23.70,7.90,5644034.0,0.0
2000-02-21,23.30,23.55,22.90,23.50,7.84,2155528.0,0.0
2000-02-22,23.10,23.40,22.78,23.25,7.75,3450000.0,0.0
2000-02-23,23.27,24.10,23.27,23.57,7.86,3523542.0,0.0
2000-02-24,23.83,23.83,22.55,22.95,7.65,2818076.0,0.0
2000-02-25,23.00,23.00,22.30,22.58,7.53,2533538.0,0.0
2000-02-28,22.30,23.77,21.98,23.45,7.82,3393016.0,0.0
