Date,Open,High,Low,Close,Adj Close,Volume,Dividend
2000-01-03,13.76,13.81,12.45,12.81,397.28,1807977.0,0.0
2000-01-04,12.42,12.49,11.58,11.58,359.06,2278967.0,0.0
2000-01-05,10.93,11.58,10.90,11.09,343.96,4251490.0,0.0
2000-01-06,11.23,11.28,10.14,10.36,321.46,2239215.0,0.0
2000-01-07,10.58,11.32,10.58,10.93,339.02,4505100.0,0.0
2000-01-10,11.43,12.07,11.31,11.53,357.52,3247114.0,0.0
2000-01-11,11.82,11.82,11.26,11.58,359.06,1836659.0,0.0
2000-01-12,11.47,11.74,11.25,11.68,362.14,1626324.0,0.0
2000-01-13,11.77,11.80,11.08,11.08,343.65,1453728.0,0.0
2000-01-14,11.43,11.73,11.23,11.67,361.83,2137570.0,0.0
2000-01-17,11.82,11.84,10.63,10.63,329.78,4549884.0,0.0
2000-01-18,11.15,11.42,10.93,11.21,347.65,3063951.0,0.0
2000-01-19,11.33,11.43,11.06,11.43,354.44,2002714.0,0.0
2000-01-20,11.52,12.51,11.36,12.31,381.87,4611777.0,0.0
2000-01-21,12.14,12.84,12.09,12.62,391.42,3889190.0,0.0
2000-01-24,12.77,12.77,12.22,12.32,382.17,1859806.0,0.0
2000-01-25,11.92,12.32,11.75,11.89,368.92,2669950.0,0.0
2000-01-26,12.12,12.15,11.87,12.04,373.54,2073161.0,0.0
2000-01-27,12.22,12.39,11.75,11.82,366.76,1475869.0,0.0
2000-01-28,11.91,11.97,11.45,11.45,355.05,1807977.0,0.0
2000-01-31,11.43,11.71,11.32,11.42,354.13,1146780.0,0.0
2000-02-01,11.71,12.42,11.50,12.13,376.32,1248425.0,0.0
2000-02-02,12.15,12.56,12.04,12.18,377.86,1902075.0,0.0
2000-02-03,12.37,12.75,12.26,12.44,385.87,3204845.0,0.0
2000-02-04,12.61,12.80,12.25,12.57,389.88,2596986.0,0.0
2000-02-07,12.77,12.80,12.22,12.22,379.09,1678656.0,0.0
2000-02-08,12.57,13.51,12.36,13.25,410.84,3321083.0,0.0
2000-02-09,13.51,13.77,13.22,13.66,423.78,4055244.0,0.0
2000-02-10,15.34,15.45,13.22,15.40,477.72,5479788.0,0.0
2000-02-11,15.90,16.39,14.97,15.50,480.80,5187432.0,0.0
2000-02-14,15.90,16.10,14.91,15.39,477.41,4137265.0,0.0
2000-02-15,15.90,16.30,15.05,15.25,473.09,3186227.0,0.0
2000-02-16,15.70,16.08,15.15,15.89,492.82,2463137.0,0.0
2000-02-17,15.90,17.03,15.63,16.88,523.64,4515667.0,0.0
2000-02-18,16.63,17.43,16.59,17.06,529.19,4875954.0,0.0
2000-02-21,16.45,17.83,16.43,17.18,532.89,2711211.0,0.0
2000-02-22,17.39,17.99,16.54,16.89,523.95,4110595.0,0.0
2000-02-23,17.19,17.39,16.77,17.31,536.89,2667434.0,0.0
2000-02-24,17.22,17.89,17.19,17.38,539.05,2851100.0,0.0
2000-02-25,17.62,18.88,17.61,18.83,584.05,4631905.0,0.0
2000-02-28,19.23,19.62,18.18,18.57,576.03,6117335.0,0.0
2000-02-29,18.78,19.60,18.38,19.57,607.16,4891050.0,0.0
2000-03-01,19.83,19.87,18.75,19.18,594.83,3214909.0,0.0
2000-03-02,19.37,19.37,18.38,19.23,596.38,2365517.0,0.0
2000-03-03,19.08,19.22,18.38,18.77,582.20,2023848.0,0.0
2000-03-06,18.88,18.88,17.89,17.89,554.77,2375078.0,0.0
2000-03-07,17.89,18.46,17.19,17.78,551.38,3111251.0,0.0
2000-03-08,17.40,18.43,17.24,18.25,566.17,1494487.0,0.0
2000-03-09,18.68,18.68,18.30,18.58,576.34,1156340.0,0.0
2000-03-10,18.70,18.76,18.15,18.28,567.10,1245406.0,0.0
2000-03-13,18.08,18.28,17.39,17.99,557.85,1665573.0,0.0
2000-03-14,17.89,18.48,17.40,18.35,569.25,1179991.0,0.0
2000-03-15,18.28,18.98,17.88,18.98,588.67,2633720.0,0.0
2000-03-16,18.88,18.88,17.90,17.90,555.08,1976547.0,0.0
2000-03-17,18.28,18.28,17.49,17.63,546.75,4579069.0,0.0
2000-03-20,17.49,17.49,16.95,17.14,531.65,1612235.0,0.0
2000-03-21,16.99,17.04,16.10,16.10,499.29,1815274.0,0.0
2000-03-22,16.67,16.99,16.13,16.92,524.87,1540781.0,0.0
