Date,Open,High,Low,Close,Adj Close,Volume,Dividend
2000-01-03,106.80,109.00,103.50,103.50,65.14,2200.0,0.0
2000-01-04,106.00,106.00,101.00,102.00,64.19,500.0,0.0
2000-01-05,95.50,97.00,94.00,97.00,61.05,1300.0,0.0
2000-01-06,99.00,99.00,96.00,96.50,60.73,1300.0,0.0
2000-01-07,93.50,101.00,93.50,100.50,63.25,3100.0,0.0
2000-01-10,104.50,109.00,104.00,104.00,65.45,1600.0,0.0
2000-01-11,107.50,107.50,105.50,105.50,66.39,400.0,0.0
2000-01-12,103.70,104.50,103.00,104.50,65.77,1300.0,0.0
2000-01-13,102.00,104.00,101.70,102.00,64.19,800.0,0.0
2000-01-14,105.00,107.50,105.00,107.50,67.65,500.0,0.0
2000-01-17,106.00,107.50,106.00,107.50,67.65,400.0,0.0
2000-01-18,107.50,108.50,106.50,108.00,67.97,100.0,0.0
2000-01-19,110.50,110.50,109.30,110.50,69.54,500.0,0.0
2000-01-20,111.50,114.00,111.50,114.00,71.74,100.0,0.0
2000-01-21,111.00,113.50,110.90,113.00,71.11,100.0,0.0
2000-01-24,115.00,116.00,114.00,114.00,71.74,200.0,0.0
2000-01-25,108.00,109.50,107.50,108.50,68.28,100.0,0.0
2000-01-26,113.00,113.00,110.00,110.00,69.23,400.0,0.0
2000-01-27,107.50,111.50,107.50,111.50,70.17,100.0,0.0
2000-01-28,108.80,111.00,108.60,110.00,69.23,700.0,0.0
2000-01-31,107.00,107.00,103.20,103.20,64.95,200.0,0.0
2000-02-01,112.30,115.50,112.30,115.50,72.69,100.0,0.0
2000-02-02,120.50,120.50,120.00,120.00,75.52,100.0,0.0
2000-02-03,116.00,119.00,116.00,119.00,74.89,500.0,0.0
2000-02-04,119.00,123.00,119.00,123.00,77.41,700.0,0.0
2000-02-07,124.00,126.80,124.00,126.80,79.80,800.0,0.0
2000-02-08,129.80,129.80,126.50,126.50,79.61,100.0,0.0
2000-02-09,132.50,135.00,132.50,135.00,84.96,200.0,0.0
2000-02-10,132.00,133.90,131.00,133.00,83.70,2700.0,0.0
2000-02-11,138.50,138.50,134.50,134.50,84.65,600.0,0.0
2000-02-14,133.50,135.00,131.00,132.00,83.07,1100.0,0.0
2000-02-15,133.90,134.30,130.00,130.00,81.81,500.0,0.0
2000-02-16,131.50,131.50,130.00,131.00,82.44,100.0,0.0
2000-02-17,129.50,130.50,129.00,130.50,82.13,300.0,0.0
2000-02-18,132.60,133.30,131.00,131.00,82.44,100.0,0.0
2000-02-21,128.50,129.00,128.50,128.50,80.87,200.0,0.0
2000-02-22,128.80,128.80,121.50,121.50,76.46,900.0,0.0
2000-02-23,123.80,128.00,123.80,128.00,80.56,90.0,0.0
2000-02-24,136.00,140.00,134.50,134.50,84.65,500.0,0.0
2000-02-25,140.00,140.00,138.50,138.50,87.16,100.0,0.0
2000-02-28,138.50,138.50,133.50,133.50,84.02,500.0,0.0
2000-02-29,135.00,137.50,135.00,137.50,86.53,22.0,0.0
2000-03-01,136.00,139.00,136.00,138.00,86.85,600.0,0.0
2000-03-02,130.00,136.00,130.00,132.00,83.07,100.0,0.0
2000-03-03,129.50,139.00,129.50,139.00,87.48,700.0,0.0
2000-03-06,145.00,145.00,130.00,141.00,88.74,1100.0,0.0
2000-03-07,143.80,143.80,132.00,143.00,90.00,600.0,0.0
2000-03-08,138.30,138.30,137.10,138.00,86.85,76.0,0.0
2000-03-09,138.00,141.00,138.00,141.00,88.74,50.0,0.0
2000-03-10,145.00,146.30,145.00,146.00,91.88,100.0,0.0
2000-03-14,141.00,143.50,141.00,142.00,89.37,300.0,0.0
2000-03-15,135.90,137.50,135.90,137.50,86.53,200.0,0.0
2000-03-16,132.80,134.50,129.20,129.20,81.31,200.0,0.0
2000-03-17,136.00,139.00,136.00,139.00,87.48,300.0,0.0
2000-03-20,138.70,142.00,138.70,140.50,88.42,1000.0,0.0
2000-03-21,138.00,141.50,138.00,141.50,89.05,400.0,0.0
2000-03-22,147.00,149.00,146.20,149.00,93.77,400.0,0.0
2000-03-23,75.10,77.50,75.10,77.10,48.52,900.0,0.0
2000-03-24,80.10,83.40,80.10,83.40,52.49,2200.0,0.0
2000-03-27,84.00,84.00,83.40,83.80,52.74,800.0,0.0
2000-03-28,84.50,84.95,82.00,82.00,51.61,1000.0,0.0
2000-03-29,81.70,81.70,80.70,80.70,50.79,84.0,0.0
2000-03-30,80.10,80.10,78.00,79.50,50.03,1100.0,0.0
2000-03-31,77.00,81.00,75.20,78.90,49.65,1000.0,0.0
2000-04-03,81.80,81.80,78.60,78.60,49.47,1300.0,0.0
2000-04-04,77.70,78.20,74.00,75.00,47.20,1900.0,0.0
2000-04-05,75.20,77.50,71.50,76.00,47.83,4000.0,0.0
2000-04-06,75.50,77.50,75.50,77.50,48.77,500.0,0.0
2000-04-07,76.00,77.50,76.00,76.00,47.83,700.0,0.0
2000-04-10,79.00,80.30,79.00,79.80,50.22,1600.0,0.0
2000-04-11,77.70,77.70,73.50,73.50,46.26,900.0,0.0
2000-04-12,73.00,74.30,70.00,70.00,44.05,2300.0,0.0
2000-04-13,68.50,71.00,68.00,68.00,42.79,900.0,0.0
2000-04-14,63.00,66.50,63.00,63.00,39.65,1000.0,0.0
2000-04-17,60.00,67.00,58.50,67.00,42.17,1900.0,0.0
2000-04-18,72.00,73.00,71.00,71.50,45.00,1600.0,0.0
2000-04-19,74.00,74.00,70.00,72.00,45.31,1900.0,0.0
2000-04-20,71.50,71.50,70.00,70.50,44.37,1200.0,0.0
2000-04-25,69.00,70.50,69.00,69.70,43.86,1100.0,0.0
2000-04-26,72.20,74.00,72.20,74.00,46.57,200.0,0.0
2000-04-27,72.90,73.70,69.00,73.70,46.38,400.0,0.0
2000-04-28,76.00,77.00,75.20,76.00,47.83,500.0,0.0
2000-05-02,77.50,78.80,77.50,78.00,49.09,700.0,0.0
2000-05-03,75.50,75.70,74.00,74.00,46.57,1700.0,0.0
2000-05-04,75.00,75.00,74.00,74.00,46.57,100.0,0.0
2000-05-05,72.00,75.80,72.00,75.80,47.70,1100.0,0.0
2000-05-10,70.00,70.20,64.50,64.50,40.59,400.0,0.0
2000-05-11,65.00,67.00,64.80,67.00,42.17,1100.0,0.0
2000-05-12,67.30,69.60,67.30,69.60,43.80,800.0,0.0
2000-05-15,65.90,65.90,63.50,63.50,39.96,200.0,0.0
2000-05-16,66.30,68.00,66.30,67.50,42.48,100.0,0.0
2000-05-17,68.00,68.00,66.00,66.50,41.85,700.0,0.0
2000-05-18,65.50,65.50,63.00,63.00,39.65,400.0,0.0
2000-05-19,62.50,62.50,59.80,59.80,37.63,800.0,0.0
2000-05-22,59.20,59.70,55.20,56.00,35.24,1100.0,0.0
2000-05-23,61.20,61.40,59.30,59.30,37.32,500.0,0.0
2000-05-24,55.55,57.20,55.50,57.20,36.00,1200.0,0.0
2000-05-25,61.50,64.20,61.00,63.50,39.96,1400.0,0.0
2000-05-26,61.00,61.50,58.50,58.50,36.82,1100.0,0.0
2000-05-29,59.40,59.50,59.30,59.50,37.45,500.0,0.0
2000-05-30,59.40,62.30,59.40,62.30,39.21,400.0,0.0
2000-05-31,65.00,65.00,63.00,64.50,40.59,600.0,0.0
2000-06-01,62.50,64.10,62.50,64.10,40.34,50.0,0.0
2000-06-02,65.00,69.00,65.00,68.20,42.92,200.0,0.0
2000-06-05,69.00,69.00,67.00,67.30,42.35,300.0,0.0
2000-06-06,67.50,67.50,66.00,66.00,41.54,100.0,0.0
2000-06-07,64.80,65.50,63.80,65.50,41.22,200.0,0.0
2000-06-08,65.60,67.80,65.60,67.80,42.67,900.0,0.0
2000-06-09,67.00,67.50,67.00,67.50,42.48,200.0,0.0
2000-06-12,67.80,68.40,67.80,67.90,42.73,200.0,0.0
2000-06-13,64.80,65.40,64.50,65.40,41.16,76.0,0.0
2000-06-14,67.50,68.00,67.20,68.00,42.79,700.0,0.0
2000-06-15,68.20,68.50,68.00,68.30,42.98,200.0,0.0
2000-06-16,70.50,70.50,69.00,69.00,43.42,600.0,0.0
2000-06-20,72.50,72.60,71.00,71.20,44.81,700.0,0.0
2000-06-21,70.50,70.50,70.20,70.50,44.37,60.0,0.0
2000-06-22,70.80,71.50,70.50,70.50,44.37,100.0,0.0
2000-06-23,69.30,69.30,69.00,69.00,43.42,200.0,0.0
2000-06-26,66.70,67.70,66.20,67.00,42.17,600.0,0.0
2000-06-28,66.20,66.80,66.20,66.60,41.91,100.0,0.0
2000-06-29,67.50,67.50,64.00,64.00,40.28,400.0,0.0
2000-06-30,64.50,64.50,64.20,64.20,40.40,200.0,0.0
2000-07-03,67.00,67.00,66.50,67.00,42.17,94.0,0.0
2000-07-04,69.00,69.00,67.70,67.70,42.61,11.0,0.0
2000-07-05,67.70,68.00,67.00,67.00,42.17,100.0,0.0
2000-07-06,65.00,65.00,65.00,65.00,40.91,58.0,0.0
2000-07-10,69.00,69.00,67.90,68.00,42.79,100.0,0.0
2000-07-12,65.80,66.50,65.80,66.50,41.85,100.0,0.0
2000-07-13,68.00,71.30,68.00,71.30,44.87,87.0,0.0
2000-07-14,70.00,72.00,69.80,72.00,45.31,100.0,0.0
2000-07-17,72.70,73.80,72.20,73.80,46.45,70.0,0.0
2000-07-18,74.50,74.50,73.30,73.30,46.13,300.0,0.0
2000-07-19,72.00,72.30,72.00,72.30,45.50,95.0,0.0
2000-07-20,72.20,74.20,72.20,74.20,46.70,100.0,0.0
2000-07-21,74.50,74.50,73.25,73.25,46.10,100.0,0.0
2000-07-25,71.00,71.00,71.00,71.00,44.68,17.0,0.0
2000-07-26,73.00,73.00,71.00,72.00,45.31,200.0,0.0
2000-07-28,72.10,72.60,69.50,69.50,43.74,200.0,0.0
2000-07-31,68.00,70.50,68.00,70.50,44.37,100.0,0.0
2000-08-01,70.70,70.70,69.20,69.20,43.55,20.0,0.0
2000-08-02,69.00,70.00,69.00,70.00,44.05,4.0,0.0
2000-08-03,67.30,68.50,65.00,68.50,43.11,300.0,0.0
2000-08-04,71.50,72.00,71.00,72.00,45.31,100.0,0.0
2000-08-07,71.50,73.20,71.40,73.20,46.07,500.0,0.0
2000-08-08,73.20,73.20,72.50,73.20,46.07,100.0,0.0
2000-08-10,75.00,75.30,72.50,72.50,45.63,200.0,0.0
2000-08-11,70.00,70.90,69.00,70.90,44.62,200.0,0.0
2000-08-14,70.80,71.50,69.80,70.40,44.31,600.0,0.0
2000-08-15,71.00,71.00,69.50,69.50,43.74,60.0,0.0
2000-08-16,69.00,69.50,69.00,69.50,43.74,52.0,0.0
2000-08-17,69.50,69.50,68.50,69.30,43.61,100.0,0.0
2000-08-18,70.00,70.00,69.00,69.90,43.99,100.0,0.0
2000-08-21,70.20,72.25,70.20,72.00,45.31,6.0,0.0
2000-08-22,73.00,73.50,72.70,73.50,46.26,500.0,0.0
2000-08-24,74.30,74.30,73.90,73.90,46.51,100.0,0.0
2000-08-25,74.00,74.40,73.80,73.80,46.45,300.0,0.0
