Date,Open,High,Low,Close,Adj Close,Volume,Dividend
2002-06-26,6.15,6.26,5.96,6.15,1.68,32791740.0,0.0
2002-06-27,6.25,6.42,6.22,6.25,1.71,9434107.0,0.0
2002-06-28,6.38,6.49,6.3,6.38,1.75,7187646.0,0.0
2002-07-01,6.2,6.4,6.2,6.2,1.7,4668142.0,0.0
2002-07-02,6.18,6.23,6.15,6.18,1.69,2679091.0,0.0
2002-07-03,6.11,6.2,6.05,6.11,1.67,5248186.0,0.0
2002-07-04,6.23,6.23,6.08,6.23,1.7,2366063.0,0.0
2002-07-05,6.35,6.35,6.22,6.35,1.74,2673549.0,0.0
2002-07-08,6.38,6.4,6.27,6.38,1.75,2030603.0,0.0
2002-07-09,6.37,6.41,6.31,6.37,1.74,1710479.0,0.0
2002-07-10,6.23,6.35,6.19,6.23,1.7,1321432.0,0.0
2002-07-11,6.28,6.28,6.09,6.28,1.72,1658146.0,0.0
2002-07-12,6.4,6.4,6.25,6.4,1.75,2542628.0,0.0
2002-07-15,6.1,6.48,6.05,6.1,1.67,2325469.0,0.0
2002-07-16,6.1,6.3,6.01,6.1,1.67,1838734.0,0.0
2002-07-17,6.11,6.2,6.04,6.11,1.67,2198097.0,0.0
2002-07-18,6.03,6.18,6.03,6.03,1.65,1703879.0,0.0
2002-07-19,6.0,6.16,5.98,6.0,1.64,1937546.0,0.0
2002-07-22,6.0,6.05,5.91,6.0,1.64,1910596.0,0.0
2002-07-23,6.1,6.17,6.02,6.1,1.67,2764121.0,0.0
2002-07-24,5.8,6.07,5.76,5.8,1.59,3265906.0,0.0
2002-07-25,6.05,6.1,5.94,6.05,1.65,2317160.0,0.0
2002-07-26,5.74,6.04,5.71,5.74,1.57,938378.0,0.0
2002-07-29,5.84,6.0,5.76,5.84,1.6,312985.0,0.0
2002-07-30,5.61,5.85,5.61,5.61,1.53,838444.0,0.0
2002-07-31,5.84,5.85,5.64,5.84,1.6,1144328.0,0.0
2002-08-01,5.65,5.88,5.65,5.65,1.55,832715.0,0.0
2002-08-02,5.84,5.84,5.67,5.84,1.6,524775.0,0.0
2002-08-05,5.6,5.83,5.6,5.6,1.53,388002.0,0.0
2002-08-06,5.63,5.74,5.58,5.63,1.54,397274.0,0.0
2002-08-07,5.75,5.81,5.62,5.75,1.57,488002.0,0.0
2002-08-08,5.86,5.99,5.67,5.86,1.6,878348.0,0.0
2002-08-09,5.75,5.99,5.73,5.75,1.57,280905.0,0.0
2002-08-12,5.8,5.88,5.76,5.8,1.59,143744.0,0.0
2002-08-13,5.86,5.92,5.8,5.86,1.6,304533.0,0.0
2002-08-14,5.98,5.98,5.78,5.98,1.64,248431.0,0.0
2002-08-16,6.0,6.14,5.9,6.0,1.64,850940.0,0.0
2002-08-19,5.91,6.04,5.89,5.91,1.62,1110173.0,0.0
2002-08-20,5.75,6.04,5.73,5.75,1.57,494669.0,0.0
2002-08-21,5.72,5.85,5.69,5.72,1.56,495644.0,0.0
2002-08-22,5.7,5.79,5.7,5.7,1.56,393391.0,0.0
2002-08-23,5.74,5.78,5.69,5.74,1.57,584896.0,0.0
2002-08-26,5.75,5.78,5.69,5.75,1.57,230278.0,0.0
2002-08-27,5.69,5.77,5.67,5.69,1.56,341275.0,0.0
2002-08-28,5.64,5.7,5.63,5.64,1.54,274047.0,0.0
2002-08-29,5.66,5.79,5.66,5.66,1.55,513632.0,0.0
2002-08-30,5.63,5.73,5.63,5.63,1.54,193056.0,0.0
2002-09-02,5.68,5.68,5.61,5.68,1.55,248082.0,0.0
2002-09-03,5.57,5.67,5.57,5.57,1.52,154092.0,0.0
2002-09-04,5.49,5.59,5.46,5.49,1.5,283078.0,0.0
2002-09-05,5.45,5.56,5.45,5.45,1.49,222242.0,0.0
2002-09-06,5.27,5.46,5.2,5.27,1.44,768591.0,0.0
2002-09-09,5.21,5.37,5.21,5.21,1.43,469522.0,0.0
2002-09-10,5.23,5.33,5.23,5.23,1.43,616946.0,0.0
2002-09-11,5.4,5.4,5.23,5.4,1.48,418379.0,0.0
2002-09-12,5.3,5.35,5.22,5.3,1.45,1152545.0,0.0
2002-09-13,5.21,5.36,5.21,5.21,1.43,1383001.0,0.0
2002-09-16,5.22,5.28,5.18,5.22,1.43,261716.0,0.0
2002-09-17,5.14,5.29,5.14,5.14,1.41,891741.0,0.0
2002-09-18,5.32,5.38,5.11,5.32,1.46,1025126.0,0.0
2002-09-19,5.5,5.57,5.3,5.5,1.5,709581.0,0.0
2002-09-20,5.4,5.56,5.3,5.4,1.48,857656.0,0.0
2002-09-23,5.5,5.52,5.36,5.5,1.5,470132.0,0.0
2002-09-24,5.54,5.54,5.35,5.54,1.52,422886.0,0.0
2002-09-25,5.5,5.6,5.37,5.5,1.5,570391.0,0.0
2002-09-26,5.7,5.7,5.46,5.7,1.56,966180.0,0.0
2002-09-27,5.9,5.9,5.62,5.9,1.61,790174.0,0.0
2002-09-30,5.7,5.96,5.68,5.7,1.56,548506.0,0.0
2002-10-01,5.67,5.81,5.63,5.67,1.55,193942.0,0.0
2002-10-02,5.82,5.9,5.67,5.82,1.59,504698.0,0.0
2002-10-03,5.63,5.78,5.61,5.63,1.54,334784.0,0.0
2002-10-04,5.55,5.7,5.53,5.55,1.52,135581.0,0.0
2002-10-07,5.67,5.8,5.47,5.67,1.55,419199.0,0.0
2002-10-08,5.63,5.79,5.63,5.63,1.54,326635.0,0.0
2002-10-09,5.49,5.7,5.46,5.49,1.5,293797.0,0.0
2002-10-10,5.53,5.55,5.42,5.53,1.51,486469.0,0.0
2002-10-11,5.53,5.6,5.51,5.53,1.51,150530.0,0.0
2002-10-14,5.46,5.54,5.45,5.46,1.49,334064.0,0.0
2002-10-15,5.55,5.61,5.46,5.55,1.52,670679.0,0.0
2002-10-16,5.63,5.67,5.53,5.63,1.54,840689.0,0.0
2002-10-17,5.57,5.7,5.57,5.57,1.52,369038.0,0.0
2002-10-18,5.66,5.68,5.57,5.66,1.55,254109.0,0.0
2002-10-21,5.64,5.75,5.61,5.64,1.54,262947.0,0.0
2002-10-22,5.7,5.78,5.65,5.7,1.56,511451.0,0.0
2002-10-23,5.69,5.74,5.69,5.69,1.56,240936.0,0.0
2002-10-24,5.63,5.71,5.63,5.63,1.54,155343.0,0.0
2002-10-25,5.74,5.75,5.61,5.74,1.57,234338.0,0.0
2002-10-28,5.68,5.71,5.65,5.68,1.55,464907.0,0.0
2002-10-29,5.65,5.72,5.65,5.65,1.55,237833.0,0.0
2002-10-30,5.51,5.72,5.48,5.51,1.51,438695.0,0.0
2002-10-31,5.43,5.59,5.4,5.43,1.49,482315.0,0.0
2002-11-04,5.5,5.5,5.45,5.5,1.5,402855.0,0.0
2002-11-05,5.45,5.55,5.44,5.45,1.49,406402.0,0.0
2002-11-06,5.46,5.54,5.46,5.46,1.49,851066.0,0.0
2002-11-07,5.5,5.57,5.48,5.5,1.5,593420.0,0.0
2002-11-08,5.5,5.54,5.47,5.5,1.5,340281.0,0.0
2002-11-11,5.48,5.51,5.46,5.48,1.5,204219.0,0.0
2002-11-12,5.48,5.54,5.45,5.48,1.5,549766.0,0.0
2002-11-13,5.5,5.52,5.45,5.5,1.5,320148.0,0.0
2002-11-14,5.5,5.5,5.46,5.5,1.5,296301.0,0.0
2002-11-15,5.56,5.65,5.51,5.56,1.52,441665.0,0.0
2002-11-18,5.58,5.62,5.56,5.58,1.53,419173.0,0.0
2002-11-19,5.7,5.7,5.53,5.7,1.56,341543.0,0.0
2002-11-20,5.7,5.74,5.66,5.7,1.56,446295.0,0.0
2002-11-21,5.78,5.79,5.7,5.78,1.58,502789.0,0.0
2002-11-22,5.75,5.82,5.75,5.75,1.57,467406.0,0.0
2002-11-25,5.7,5.8,5.68,5.7,1.56,835060.0,0.0
2002-11-26,5.71,5.76,5.62,5.71,1.56,649746.0,0.0
2002-11-27,5.77,5.78,5.66,5.77,1.58,532037.0,0.0
2002-11-28,5.76,5.82,5.7,5.76,1.58,571669.0,0.0
2002-11-29,5.79,5.84,5.73,5.79,1.58,270370.0,0.0
2002-12-02,5.87,6.04,5.83,5.87,1.61,808703.0,0.0
2002-12-03,5.85,5.96,5.84,5.85,1.6,283480.0,0.0
2002-12-04,5.88,5.93,5.8,5.88,1.61,273573.0,0.0
2002-12-05,5.84,5.99,5.84,5.84,1.6,306477.0,0.0
2002-12-09,5.81,5.95,5.72,5.81,1.59,598221.0,0.0
2002-12-10,5.75,5.78,5.62,5.75,1.57,1153207.0,0.0
2002-12-11,5.78,5.83,5.69,5.78,1.58,884622.0,0.0
2002-12-12,5.7,5.78,5.7,5.7,1.56,236134.0,0.0
2002-12-13,5.7,5.74,5.69,5.7,1.56,310125.0,0.0
2002-12-16,5.7,5.75,5.69,5.7,1.56,193249.0,0.0
2002-12-17,5.7,5.75,5.7,5.7,1.56,432151.0,0.0
2002-12-18,5.7,5.75,5.7,5.7,1.56,622197.0,0.0
2002-12-19,5.71,5.74,5.65,5.71,1.56,382498.0,0.0
2002-12-20,5.77,5.77,5.68,5.77,1.58,546360.0,0.0
2002-12-23,5.85,5.85,5.7,5.85,1.6,235173.0,0.0
