Date,Open,High,Low,Close,Adj Close,Volume,Dividend
2000-01-03,10.88,10.92,10.4,10.48,2.55,6741750.0,0.0
2000-01-04,10.3,10.36,10.2,10.26,2.49,6562125.0,0.0
2000-01-05,10.04,10.58,10.02,10.34,2.51,11368875.0,0.0
2000-01-06,10.48,10.54,10.36,10.54,2.56,6462250.0,0.0
2000-01-07,10.6,10.82,10.54,10.76,2.61,8321375.0,0.0
2000-01-10,10.68,10.78,10.46,10.5,2.55,6229125.0,0.0
2000-01-11,10.44,10.48,10.3,10.46,2.54,6896375.0,0.0
2000-01-12,10.4,10.56,10.32,10.5,2.55,5396250.0,0.0
2000-01-13,10.44,10.46,10.24,10.26,2.49,7481875.0,0.0
2000-01-14,10.32,10.52,10.2,10.42,2.53,6918875.0,0.0
2000-01-17,10.5,10.5,10.24,10.24,2.49,6222750.0,0.0
2000-01-18,10.24,10.34,10.06,10.08,2.45,6935250.0,0.0
2000-01-19,10.14,10.44,10.12,10.4,2.53,9893750.0,0.0
2000-01-20,10.44,10.64,10.4,10.56,2.56,8604625.0,0.0
2000-01-21,10.48,10.54,10.3,10.36,2.52,9124125.0,0.0
2000-01-24,10.32,10.36,10.18,10.2,2.48,5767500.0,0.0
2000-01-25,10.18,10.22,10.02,10.2,2.48,7197375.0,0.0
2000-01-26,10.18,10.18,9.84,9.94,2.41,8541625.0,0.0
2000-01-27,10.0,10.06,9.68,9.72,2.36,7468500.0,0.0
2000-01-28,9.8,9.8,9.56,9.72,2.36,7356000.0,0.0
2000-01-31,9.62,9.7,9.46,9.68,2.35,7514125.0,0.0
2000-02-01,9.66,9.72,9.54,9.66,2.35,6242125.0,0.0
2000-02-02,9.64,9.74,9.48,9.5,2.31,8051750.0,0.0
2000-02-03,9.6,9.92,9.5,9.8,2.38,7870875.0,0.0
2000-02-04,9.68,9.88,9.6,9.82,2.39,6808625.0,0.0
2000-02-07,9.76,10.22,9.76,10.18,2.47,9694875.0,0.0
2000-02-08,11.16,11.18,10.16,11.12,2.7,26796624.0,0.0
2000-02-09,11.6,11.7,10.74,10.76,2.61,24927124.0,0.0
2000-02-10,10.54,10.88,10.48,10.58,2.57,8595375.0,0.0
2000-02-11,10.52,10.56,10.1,10.56,2.56,10985000.0,0.0
2000-02-14,10.32,10.5,10.12,10.48,2.55,9063000.0,0.0
2000-02-15,10.76,10.76,10.48,10.48,2.55,11146750.0,0.0
2000-02-16,10.8,10.84,10.6,10.8,2.62,9673375.0,0.0
2000-02-17,10.72,10.96,10.6,10.72,2.6,10495875.0,0.0
2000-02-18,10.7,10.78,10.5,10.56,2.56,5631875.0,0.0
2000-02-21,10.52,10.7,10.34,10.6,2.57,5243375.0,0.0
2000-02-22,10.6,10.7,10.2,10.28,2.5,8530875.0,0.0
2000-02-23,10.2,10.38,10.02,10.2,2.48,12595000.0,0.0
2000-02-24,10.08,10.14,9.82,9.92,2.41,11337000.0,0.0
2000-02-25,10.0,10.1,9.96,9.96,2.42,4827625.0,0.0
2000-02-28,10.0,10.14,9.7,9.82,2.39,8607500.0,0.0
2000-02-29,9.8,9.8,9.62,9.66,2.35,11176375.0,0.0
2000-03-01,9.84,10.08,9.74,10.08,2.45,9789500.0,0.0
2000-03-02,10.12,10.22,9.86,10.1,2.45,9259750.0,0.0
2000-03-03,9.94,10.22,9.74,10.0,2.43,11196375.0,0.0
2000-03-06,9.9,10.04,9.8,10.0,2.43,7691125.0,0.0
2000-03-07,9.96,10.0,9.74,9.86,2.39,9305500.0,0.0
2000-03-08,9.94,10.44,9.92,10.16,2.47,18512750.0,0.0
2000-03-09,10.12,10.32,10.08,10.2,2.48,7937875.0,0.0
2000-03-10,10.2,10.24,9.94,10.04,2.44,7730000.0,0.0
2000-03-13,10.02,10.22,9.8,9.94,2.41,8055125.0,0.0
2000-03-14,9.9,10.04,9.82,9.94,2.41,6056250.0,0.0
2000-03-15,9.86,9.86,9.68,9.82,2.39,8385250.0,0.0
2000-03-16,9.98,10.06,9.82,10.02,2.43,9123375.0,0.0
2000-03-17,10.08,10.16,9.7,9.8,2.38,20234876.0,0.0
2000-03-20,9.8,9.86,9.66,9.82,2.39,7312000.0,0.0
2000-03-21,9.74,10.08,9.74,10.08,2.45,9682750.0,0.0
2000-03-22,10.08,10.16,10.02,10.06,2.44,13435000.0,0.0
2000-03-23,10.06,10.08,9.78,10.06,2.44,6803000.0,0.0
2000-03-24,10.02,10.08,9.92,10.04,2.44,5012500.0,0.0
2000-03-27,9.98,10.08,9.94,10.02,2.43,4554500.0,0.0
