Date,Open,High,Low,Close,Adj Close,Volume,Dividend
2000-01-04,52.00,52.00,50.00,50.00,27.51,100.0,0.0
2000-01-06,48.20,48.20,47.00,47.00,25.86,300.0,0.0
2000-01-10,52.50,53.00,52.50,53.00,29.16,600.0,0.0
2000-01-12,53.00,53.00,53.00,53.00,29.16,4.0,0.0
2000-01-13,51.05,51.05,50.00,50.00,27.51,200.0,0.0
2000-01-17,50.05,50.05,50.05,50.05,27.54,400.0,0.0
2000-01-20,51.10,51.10,51.10,51.10,28.11,60.0,0.0
2000-01-24,50.00,50.00,50.00,50.00,27.51,100.0,0.0
2000-01-25,48.00,48.00,48.00,48.00,26.41,64.0,0.0
2000-01-26,50.50,52.00,50.50,52.00,28.61,1800.0,0.0
2000-01-28,52.45,52.45,52.00,52.00,28.61,44.0,0.0
2000-02-01,48.05,48.05,48.05,48.05,26.44,16.0,0.0
2000-02-07,49.95,49.95,49.95,49.95,27.48,400.0,0.0
2000-02-09,48.00,48.00,48.00,48.00,26.41,100.0,0.0
2000-02-10,48.95,48.95,48.95,48.95,26.93,44.0,0.0
2000-02-11,48.95,48.95,48.95,48.95,26.93,100.0,0.0
2000-02-14,47.00,47.00,47.00,47.00,25.86,100.0,0.0
2000-02-15,47.65,47.65,47.65,47.65,26.22,100.0,0.0
2000-02-16,47.00,47.00,47.00,47.00,25.86,100.0,0.0
2000-02-17,46.10,46.10,46.10,46.10,25.36,28.0,0.0
2000-02-21,46.00,46.00,46.00,46.00,25.31,100.0,0.0
2000-02-23,48.30,48.30,48.30,48.30,26.57,12.0,0.0
2000-02-24,44.95,44.95,43.95,43.95,24.18,200.0,0.0
2000-02-25,43.95,43.95,42.65,42.65,23.47,400.0,0.0
2000-03-01,43.13,43.13,43.13,43.13,23.73,300.0,0.0
2000-03-03,44.40,44.40,44.00,44.00,24.21,300.0,0.0
2000-03-07,44.62,44.62,44.62,44.62,24.55,1300.0,0.0
2000-03-08,43.00,43.00,43.00,43.00,23.66,200.0,0.0
2000-03-09,43.00,43.00,43.00,43.00,23.66,52.0,0.0
2000-03-14,43.55,43.60,43.55,43.60,23.99,400.0,0.0
2000-03-20,45.75,45.75,43.80,43.80,24.10,200.0,0.0
2000-03-21,43.30,43.30,43.30,43.30,23.82,600.0,0.0
2000-03-22,47.00,47.00,47.00,47.00,25.86,96.0,0.0
2000-03-23,45.40,45.40,45.40,45.40,24.98,48.0,0.0
2000-03-27,47.50,47.50,47.50,47.50,26.13,52.0,0.0
2000-03-28,48.10,48.10,48.10,48.10,26.46,40.0,0.0
2000-03-31,49.90,50.00,49.90,50.00,27.51,500.0,0.0
2000-04-04,50.00,50.00,50.00,50.00,27.51,100.0,0.0
2000-04-05,50.05,50.05,50.05,50.05,27.54,400.0,0.0
2000-04-07,51.50,52.00,51.50,52.00,28.61,200.0,0.0
2000-04-10,52.00,52.00,52.00,52.00,28.61,400.0,0.0
2000-04-11,53.00,53.00,53.00,53.00,29.16,48.0,0.0
2000-04-12,53.05,55.00,53.05,55.00,30.26,1000.0,0.0
2000-04-14,55.65,57.95,55.65,57.95,31.88,1000.0,0.0
2000-04-17,50.00,50.00,50.00,50.00,27.51,200.0,0.0
2000-04-18,57.95,59.40,57.95,59.40,32.68,2100.0,0.0
2000-04-20,52.05,58.50,52.05,58.50,32.19,300.0,0.0
2000-04-25,57.00,58.00,57.00,58.00,31.91,300.0,0.0
2000-04-26,58.05,58.05,58.05,58.05,31.94,52.0,0.0
2000-04-27,58.00,58.50,58.00,58.50,32.19,300.0,0.0
2000-04-28,59.40,60.00,59.40,60.00,33.01,1600.0,0.0
2000-05-02,58.50,58.50,58.50,58.50,32.19,100.0,0.0
2000-05-03,58.50,58.50,58.00,58.00,31.91,200.0,0.0
2000-05-05,52.40,52.40,52.40,52.40,28.83,100.0,0.0
2000-05-18,55.30,58.30,55.30,58.30,32.08,1000.0,0.0
2000-05-19,59.50,60.00,59.50,60.00,33.01,500.0,0.0
2000-05-24,55.05,55.05,54.20,54.20,29.82,100.0,0.0
2000-06-05,51.85,51.85,51.35,51.35,28.25,200.0,0.0
2000-06-06,52.10,52.10,52.10,52.10,28.66,28.0,0.0
2000-06-08,52.00,52.00,50.05,50.05,27.54,700.0,0.0
2000-06-09,52.00,52.00,50.05,50.05,27.54,700.0,0.0
2000-06-13,50.70,50.70,50.70,50.70,27.89,300.0,0.0
2000-06-14,50.10,50.10,50.10,50.10,27.56,40.0,0.0
2000-06-16,50.00,50.00,50.00,50.00,27.51,400.0,0.0
2000-06-21,48.15,48.50,47.00,47.00,25.86,2200.0,0.0
2000-06-22,46.00,46.00,46.00,46.00,25.31,100.0,0.0
2000-06-26,49.00,49.00,49.00,49.00,26.96,52.0,0.0
2000-06-27,53.45,53.45,53.45,53.45,29.41,16.0,0.0
2000-06-28,46.00,46.00,46.00,46.00,25.31,400.0,0.0
2000-06-29,49.00,49.00,49.00,49.00,26.96,100.0,0.0
2000-06-30,49.49,49.49,49.00,49.00,26.96,100.0,0.0
2000-07-03,47.30,47.30,47.30,47.30,26.02,100.0,0.0
2000-07-06,46.50,47.00,46.50,46.50,25.58,900.0,0.0
2000-07-11,49.49,49.49,49.49,49.49,27.23,300.0,0.0
2000-07-12,50.80,50.80,50.80,50.80,27.95,88.0,0.0
2000-07-14,51.00,51.00,51.00,51.00,28.06,72.0,0.0
2000-07-17,52.90,52.90,52.90,52.90,29.11,200.0,0.0
2000-07-18,49.05,49.05,49.05,49.05,26.99,500.0,0.0
2000-07-25,48.60,48.60,48.60,48.60,26.74,300.0,0.0
2000-07-26,48.95,48.95,48.01,48.01,26.41,200.0,0.0
2000-07-28,49.50,49.50,49.50,49.50,27.23,100.0,0.0
2000-07-31,50.00,50.00,50.00,50.00,27.51,76.0,0.0
2000-08-02,50.00,50.00,50.00,50.00,27.51,20.0,0.0
2000-08-07,50.00,50.00,46.50,46.50,25.58,200.0,0.0
2000-08-11,32.70,32.70,32.50,32.60,17.94,500.0,0.0
2000-08-14,32.40,33.00,32.40,32.40,17.83,2900.0,0.0
2000-08-15,32.60,32.60,31.60,31.60,17.39,800.0,0.0
2000-08-16,31.00,31.20,31.00,31.20,17.17,200.0,0.0
