Date,Open,High,Low,Close,Adj Close,Volume,Dividend
2005-07-18,13.55,13.84,13.49,13.84,10.25,1749673.0,0.0
2005-07-19,13.74,13.87,13.63,13.72,10.16,1420084.0,0.0
2005-07-20,13.74,13.79,13.49,13.55,10.04,1701996.0,0.0
2005-07-21,13.55,13.67,13.55,13.56,10.04,1558081.0,0.0
2005-07-22,13.58,13.69,13.57,13.68,10.13,985714.0,0.0
2005-07-25,13.59,13.63,13.44,13.53,10.02,1414614.0,0.0
2005-07-26,13.51,13.52,13.44,13.49,9.99,1047879.0,0.0
2005-07-27,13.48,13.67,13.34,13.58,10.06,2176153.0,0.0
2005-07-28,13.62,13.85,13.55,13.81,10.23,2577535.0,0.0
2005-07-29,13.81,13.81,13.55,13.6,10.07,2201424.0,0.0
2005-08-01,13.62,13.65,13.52,13.62,10.09,1257075.0,0.0
2005-08-02,13.59,13.69,13.53,13.58,10.06,1556050.0,0.0
2005-08-03,13.59,13.64,13.51,13.62,10.09,1401782.0,0.0
2005-08-04,13.62,13.69,13.52,13.67,10.12,1719109.0,0.0
2005-08-05,13.6,13.67,13.53,13.55,10.04,760296.0,0.0
2005-08-08,13.56,13.62,13.55,13.58,10.06,666306.0,0.0
2005-08-09,13.55,13.59,13.49,13.54,10.03,693808.0,0.0
2005-08-10,13.54,13.66,13.45,13.62,10.09,1256444.0,0.0
2005-08-11,13.59,13.63,13.5,13.52,10.01,1192215.0,0.0
2005-08-12,13.6,13.6,13.38,13.4,9.92,1106277.0,0.0
2005-08-16,13.44,13.53,13.27,13.33,9.87,942326.0,0.0
2005-08-17,13.29,13.35,13.17,13.3,9.85,965608.0,0.0
2005-08-18,13.32,13.32,13.14,13.2,9.78,986305.0,0.0
2005-08-19,13.23,13.37,13.18,13.3,9.85,1284107.0,0.0
2005-08-22,13.35,13.45,13.31,13.35,9.88,1221823.0,0.0
2005-08-23,13.31,13.54,13.23,13.48,9.98,2074684.0,0.0
2005-08-24,13.48,13.81,13.44,13.7,10.14,3566026.0,0.0
2005-08-25,13.71,13.79,13.62,13.71,10.15,1819588.0,0.0
2005-08-26,13.74,13.78,13.53,13.55,10.04,1486799.0,0.0
2005-08-29,13.49,13.67,13.44,13.6,10.07,835533.0,0.0
2005-08-30,13.62,13.72,13.6,13.62,10.09,1178508.0,0.0
2005-08-31,13.63,13.71,13.53,13.71,10.16,1619754.0,0.0
2005-09-01,13.74,13.78,13.71,13.75,10.18,1772526.0,0.0
2005-09-02,13.75,13.79,13.64,13.71,10.16,1196812.0,0.0
2005-09-05,13.67,13.92,13.65,13.9,10.29,1903560.0,0.0
2005-09-06,13.9,13.99,13.85,13.96,10.34,1671187.0,0.0
2005-09-07,14.01,14.1,13.94,14.04,10.4,2737274.0,0.0
2005-09-08,14.01,14.14,13.92,14.07,10.42,2614534.0,0.0
2005-09-09,14.04,14.06,13.96,14.02,10.38,1280164.0,0.0
2005-09-12,14.02,14.07,13.89,13.92,10.31,1766558.0,0.0
2005-09-13,13.9,13.97,13.76,13.92,10.31,1460802.0,0.0
2005-09-14,13.91,14.07,13.91,14.07,10.42,1419207.0,0.0
2005-09-15,13.99,14.13,13.95,14.08,10.42,2059187.0,0.0
2005-09-16,14.11,14.21,14.09,14.19,10.51,4949708.0,0.0
2005-09-19,14.2,14.25,14.08,14.09,10.44,1585872.0,0.0
2005-09-20,14.15,14.17,14.08,14.11,10.45,1333831.0,0.0
2005-09-21,14.03,14.09,13.84,13.86,10.26,2059329.0,0.0
2005-09-22,13.81,13.86,13.68,13.83,10.24,1389083.0,0.0
2005-09-23,13.83,13.9,13.81,13.81,10.23,1114802.0,0.0
2005-09-26,13.86,14.21,13.85,14.18,10.5,2251143.0,0.0
2005-09-27,14.16,14.22,14.05,14.2,10.52,1542606.0,0.0
2005-09-28,14.3,15.32,14.3,15.01,11.11,11941676.0,0.0
2005-09-29,15.07,15.25,14.84,15.04,11.14,6140157.0,0.0
2005-09-30,15.19,15.22,14.81,14.9,11.03,2903021.0,0.0
2005-10-03,14.99,15.28,14.92,15.19,11.25,3807878.0,0.0
2005-10-04,15.3,15.32,15.01,15.21,11.27,3376020.0,0.0
2005-10-05,15.18,15.2,14.95,14.95,11.07,1555934.0,0.0
2005-10-06,14.87,14.92,14.7,14.87,11.01,1789230.0,0.0
2005-10-07,14.86,14.95,14.71,14.73,10.91,1629312.0,0.0
2005-10-10,14.83,14.87,14.6,14.65,10.85,1207405.0,0.0
2005-10-11,14.58,14.82,14.58,14.67,10.87,1415877.0,0.0
2005-10-12,14.62,14.78,14.52,14.7,10.89,1268814.0,0.0
2005-10-13,14.64,14.7,14.27,14.36,10.64,2587995.0,0.0
2005-10-14,14.54,14.56,14.35,14.56,10.79,2273416.0,0.0
2005-10-17,14.53,14.55,14.4,14.51,10.75,963635.0,0.0
2005-10-18,14.48,14.75,14.36,14.39,10.66,1891547.0,0.0
2005-10-19,14.27,14.32,13.92,14.0,10.37,2668987.0,0.0
2005-10-20,14.11,14.28,13.96,13.99,10.36,2543218.0,0.0
2005-10-21,13.81,14.17,13.81,14.08,10.42,2052375.0,0.0
2005-10-24,14.1,14.23,13.91,14.18,10.5,1852702.0,0.0
2005-10-25,14.18,14.27,13.98,14.03,10.39,1492215.0,0.0
2005-10-26,14.04,14.16,13.93,13.98,10.35,1006757.0,0.0
2005-10-27,13.92,14.01,13.59,13.62,10.09,1748131.0,0.0
2005-10-28,13.66,13.68,13.35,13.45,9.96,2724286.0,0.0
2005-10-31,13.56,13.77,13.55,13.69,10.14,1572910.0,0.0
2005-11-02,13.71,13.86,13.62,13.81,10.23,1603321.0,0.0
2005-11-03,13.82,14.08,13.82,13.99,10.36,1986233.0,0.0
2005-11-04,13.94,14.04,13.85,13.93,10.32,1267282.0,0.0
2005-11-07,14.16,14.37,14.09,14.37,10.64,3470601.0,0.0
2005-11-08,14.44,14.47,14.22,14.38,10.65,2184399.0,0.0
2005-11-09,14.44,14.53,14.27,14.51,10.75,2060264.0,0.0
2005-11-10,14.48,14.55,14.3,14.49,10.73,1473564.0,0.0
2005-11-11,14.5,14.62,14.33,14.42,10.68,1330937.0,0.0
2005-11-14,14.4,14.4,14.15,14.18,10.5,1641018.0,0.0
2005-11-15,14.26,14.54,14.22,14.52,10.75,2114910.0,0.0
