Date,Open,High,Low,Close,Adj Close,Volume,Dividend
2000-01-03,22.50,23.50,21.50,21.50,12.43,4500.0,0.0
2000-01-04,21.00,21.00,20.50,21.00,12.14,3500.0,0.0
2000-01-05,19.70,21.00,19.70,20.80,12.03,3300.0,0.0
2000-01-06,20.20,21.50,20.20,21.50,12.43,2500.0,0.0
2000-01-07,21.50,22.00,21.50,21.60,12.49,2000.0,0.0
2000-01-10,21.60,22.00,21.50,21.80,12.61,1000.0,0.0
2000-01-12,19.80,20.00,19.80,20.00,11.57,900.0,0.0
2000-01-13,20.80,20.80,20.50,20.50,11.85,900.0,0.0
2000-01-14,21.00,21.00,20.00,21.00,12.14,1700.0,0.0
2000-01-17,21.40,21.80,21.20,21.50,12.43,6300.0,0.0
2000-01-18,21.40,21.60,21.00,21.00,12.14,800.0,0.0
2000-01-19,20.40,20.40,20.00,20.00,11.57,1600.0,0.0
2000-01-20,21.00,21.00,20.20,20.80,12.03,1200.0,0.0
2000-01-21,20.80,20.80,20.80,20.80,12.03,500.0,0.0
2000-01-24,20.70,20.85,20.70,20.85,12.06,100.0,0.0
2000-01-25,20.50,20.50,20.00,20.00,11.57,900.0,0.0
2000-01-26,19.60,19.90,19.60,19.60,11.33,2400.0,0.0
2000-01-27,19.70,20.00,19.50,19.50,11.28,1200.0,0.0
2000-01-28,19.40,20.00,19.10,19.30,11.16,1200.0,0.0
2000-01-31,20.00,20.00,19.20,19.20,11.10,700.0,0.0
2000-02-01,19.00,19.50,19.00,19.50,11.28,800.0,0.0
2000-02-02,19.50,19.50,19.50,19.50,11.28,50.0,0.0
2000-02-03,19.20,19.50,19.20,19.20,11.10,400.0,0.0
2000-02-04,19.00,19.20,18.80,19.20,11.10,1300.0,0.0
2000-02-07,20.00,20.00,19.00,19.00,10.99,2800.0,0.0
2000-02-08,19.00,19.00,19.00,19.00,10.99,200.0,0.0
2000-02-09,18.80,19.00,18.80,19.00,10.99,700.0,0.0
2000-02-10,18.50,19.00,18.50,18.50,10.70,1700.0,0.0
2000-02-11,18.40,18.40,18.40,18.40,10.64,500.0,0.0
2000-02-14,18.50,18.50,18.30,18.40,10.64,1900.0,0.0
2000-02-15,18.00,19.00,18.00,19.00,10.99,500.0,0.0
2000-02-16,18.40,18.40,18.10,18.10,10.47,300.0,0.0
2000-02-17,18.10,18.30,18.10,18.30,10.58,300.0,0.0
2000-02-18,18.10,18.20,18.10,18.10,10.47,1200.0,0.0
2000-02-21,18.00,18.00,17.50,17.70,10.24,4300.0,0.0
2000-02-22,17.50,17.50,17.40,17.45,10.09,300.0,0.0
2000-02-23,17.50,17.55,17.50,17.55,10.15,800.0,0.0
2000-02-24,17.45,17.45,17.45,17.45,10.09,300.0,0.0
2000-02-28,18.50,18.50,18.50,18.50,10.70,600.0,0.0
2000-02-29,18.00,18.00,18.00,18.00,10.41,700.0,0.0
2000-03-01,18.50,18.50,18.50,18.50,10.70,700.0,0.0
2000-03-02,18.00,18.00,18.00,18.00,10.41,500.0,0.0
2000-03-03,17.50,18.00,17.50,17.50,10.12,1100.0,0.0
2000-03-06,18.10,19.30,18.00,19.30,11.16,15800.0,0.0
2000-03-07,18.60,19.00,18.50,18.50,10.70,1200.0,0.0
2000-03-08,17.60,18.00,17.60,17.90,10.35,4500.0,0.0
2000-03-09,18.10,18.30,18.00,18.00,10.41,2200.0,0.0
2000-03-10,18.10,18.30,17.80,17.80,10.29,1500.0,0.0
