Date,Open,High,Low,Close,Adj Close,Volume,Dividend
2002-05-17,7.55,8.1,7.55,7.98,3.0,520800.0,0.0
2002-05-20,8.39,9.0,8.25,8.8,3.3,29774.0,0.0
2002-05-21,8.9,9.35,8.9,9.0,3.38,167412.0,0.0
2002-05-22,9.0,9.04,8.6,8.95,3.36,161697.0,0.0
2002-05-23,8.95,9.04,8.9,9.0,3.38,114520.0,0.0
2002-05-24,9.01,9.1,9.0,9.1,3.42,39680.0,0.0
2002-05-27,9.1,9.1,8.85,8.9,3.34,49758.0,0.0
2002-05-28,8.8,8.9,8.53,8.75,3.29,16552.0,0.0
2002-05-29,8.75,8.99,8.62,8.65,3.25,36094.0,0.0
2002-05-30,8.66,8.7,8.55,8.6,3.23,28782.0,0.0
2002-05-31,8.6,8.7,8.57,8.65,3.25,26197.0,0.0
2002-06-03,8.69,8.75,8.65,8.7,3.27,21330.0,0.0
2002-06-04,8.75,8.75,8.6,8.66,3.25,41647.0,0.0
2002-06-05,8.75,9.0,8.7,9.0,3.38,26705.0,0.0
2002-06-06,8.99,9.0,8.71,8.76,3.29,62783.0,0.0
2002-06-07,8.75,9.2,8.75,9.05,3.4,271910.0,0.0
2002-06-10,9.0,9.0,8.72,8.72,3.27,21195.0,0.0
2002-06-11,8.75,9.08,8.75,8.8,3.3,42775.0,0.0
2002-06-12,8.75,8.95,8.75,8.8,3.3,25538.0,0.0
2002-06-13,8.9,8.9,8.71,8.75,3.29,57506.0,0.0
2002-06-14,8.72,8.72,8.0,8.01,3.01,145328.0,0.0
2002-06-17,8.1,8.55,8.1,8.5,3.19,47730.0,0.0
2002-06-18,8.48,8.5,8.15,8.3,3.12,58905.0,0.0
2002-06-19,8.12,8.12,7.85,8.0,3.0,6112.0,0.0
2002-06-20,7.99,7.99,7.8,7.8,2.93,10265.0,0.0
2002-06-21,8.05,8.05,7.61,7.88,2.96,6820.0,0.0
2002-06-24,7.9,7.9,7.45,7.45,2.8,20895.0,0.0
2002-06-25,7.7,7.7,7.0,7.0,2.63,87417.0,0.0
2002-06-26,6.7,6.85,6.0,6.85,2.57,189266.0,0.0
2002-06-27,7.09,7.15,6.9,6.95,2.61,31957.0,0.0
2002-06-28,7.64,7.64,7.25,7.35,2.76,92315.0,0.0
2002-07-01,7.48,7.48,7.25,7.45,2.8,20435.0,0.0
2002-07-02,7.4,7.45,7.26,7.26,2.73,44315.0,0.0
2002-07-03,7.3,7.45,7.25,7.25,2.72,21540.0,0.0
2002-07-04,7.3,7.35,7.25,7.35,2.76,6200.0,0.0
2002-07-05,7.4,7.5,7.35,7.45,2.8,6210.0,0.0
2002-07-08,7.5,7.5,7.39,7.47,2.81,8944.0,0.0
2002-07-09,7.45,7.5,7.39,7.39,2.78,23626.0,0.0
2002-07-10,7.5,7.5,7.27,7.27,2.73,7890.0,0.0
2002-07-11,7.25,7.25,6.9,6.95,2.61,27543.0,0.0
2002-07-12,7.0,7.3,7.0,7.2,2.7,5305.0,0.0
2002-07-15,7.24,7.25,7.0,7.24,2.72,5131.0,0.0
2002-07-16,7.25,7.25,6.98,7.0,2.63,30005.0,0.0
2002-07-17,7.0,7.35,7.0,7.3,2.74,14070.0,0.0
2002-07-18,7.1,7.5,7.1,7.4,2.78,5453.0,0.0
2002-07-19,7.35,7.35,7.25,7.35,2.76,1150.0,0.0
2002-07-22,7.35,7.35,7.1,7.25,2.72,17509.0,0.0
2002-07-23,7.3,7.34,7.0,7.0,2.63,12585.0,0.0
2002-07-24,7.1,7.1,6.55,6.75,2.54,50390.0,0.0
2002-07-25,6.9,7.04,6.4,6.5,2.44,57555.0,0.0
2002-07-26,6.5,6.64,6.4,6.64,2.49,10041.0,0.0
2002-07-29,6.45,6.65,6.45,6.65,2.5,32341.0,0.0
2002-07-30,6.8,6.8,6.7,6.7,2.52,4770.0,0.0
2002-07-31,6.71,6.8,6.6,6.6,2.48,7820.0,0.0
2002-08-01,6.85,6.85,6.8,6.85,2.57,2530.0,0.0
2002-08-02,6.6,6.85,6.6,6.8,2.55,4640.0,0.0
2002-08-05,6.74,6.9,6.6,6.6,2.48,16293.0,0.0
2002-08-06,6.8,6.9,6.5,6.9,2.59,71287.0,0.0
2002-08-07,7.05,7.3,6.65,7.15,2.69,73752.0,0.0
2002-08-08,7.24,7.3,7.15,7.2,2.7,21960.0,0.0
2002-08-09,7.3,7.3,7.1,7.1,2.67,25490.0,0.0
2002-08-12,7.29,7.29,7.0,7.0,2.63,15703.0,0.0
2002-08-13,7.2,7.2,6.9,7.0,2.63,22835.0,0.0
2002-08-14,6.99,7.15,6.9,6.9,2.59,20585.0,0.0
2002-08-15,7.05,7.05,6.92,6.92,2.6,1802.0,0.0
2002-08-16,7.22,7.22,7.0,7.0,2.63,9800.0,0.0
2002-08-19,7.11,7.2,6.85,6.85,2.57,16123.0,0.0
2002-08-20,7.01,7.15,7.01,7.13,2.68,11109.0,0.0
2002-08-21,7.1,7.15,7.0,7.0,2.63,9891.0,0.0
2002-08-22,7.09,7.1,7.02,7.1,2.67,30943.0,0.0
2002-08-23,7.16,7.18,7.0,7.1,2.67,22967.0,0.0
2002-08-26,7.1,7.1,7.05,7.1,2.67,8740.0,0.0
2002-08-27,7.1,7.1,6.95,6.95,2.61,13412.0,0.0
2002-08-28,7.1,7.1,6.95,7.0,2.63,12579.0,0.0
2002-08-29,7.0,7.0,6.85,6.85,2.57,19440.0,0.0
2002-08-30,7.0,7.0,6.95,6.95,2.61,16333.0,0.0
2002-09-02,7.0,7.1,7.0,7.0,2.63,4761.0,0.0
2002-09-03,6.98,7.0,6.85,6.85,2.57,15651.0,0.0
2002-09-04,6.85,7.04,6.75,6.75,2.54,12291.0,0.0
2002-09-05,6.86,6.95,6.85,6.9,2.59,7248.0,0.0
2002-09-06,6.75,6.75,6.45,6.6,2.67,11995.0,0.5
2002-09-09,6.65,6.65,6.46,6.46,2.62,25622.0,0.0
2002-09-10,6.51,6.53,6.21,6.34,2.57,38730.0,0.0
2002-09-11,6.26,6.43,6.0,6.23,2.52,39481.0,0.0
2002-09-12,6.26,6.26,6.0,6.0,2.43,32771.0,0.0
2002-09-13,6.0,6.0,5.55,5.7,2.31,67779.0,0.0
2002-09-16,5.8,5.87,5.5,5.6,2.27,24445.0,0.0
2002-09-17,5.75,5.75,5.32,5.44,2.2,28614.0,0.0
2002-09-18,5.4,5.5,5.29,5.5,2.23,46065.0,0.0
2002-09-19,5.45,5.5,5.2,5.25,2.13,104774.0,0.0
2002-09-20,5.22,5.5,5.22,5.4,2.19,25895.0,0.0
2002-09-23,5.5,5.5,5.3,5.4,2.19,17909.0,0.0
2002-09-24,5.35,5.45,5.2,5.25,2.13,34238.0,0.0
2002-09-25,5.49,5.5,5.25,5.32,2.15,10450.0,0.0
2002-09-26,5.6,5.6,5.4,5.5,2.23,20008.0,0.0
2002-09-27,5.5,5.5,5.36,5.36,2.17,2600.0,0.0
2002-09-30,5.4,5.49,5.35,5.37,2.17,14740.0,0.0
2002-10-01,5.3,5.31,5.2,5.3,2.15,33495.0,0.0
2002-10-02,5.45,5.45,5.25,5.25,2.13,11734.0,0.0
2002-10-03,5.15,5.24,5.1,5.1,2.06,20063.0,0.0
2002-10-04,5.11,5.2,5.1,5.15,2.09,7855.0,0.0
2002-10-07,5.29,5.29,5.15,5.2,2.11,37122.0,0.0
2002-10-08,5.2,5.29,5.2,5.26,2.13,87255.0,0.0
2002-10-09,5.28,5.28,5.11,5.24,2.12,36115.0,0.0
2002-10-10,5.24,5.24,5.13,5.22,2.11,2350.0,0.0
2002-10-11,5.3,5.5,5.1,5.29,2.14,24954.0,0.0
2002-10-14,5.5,5.5,5.15,5.34,2.16,33865.0,0.0
2002-10-15,5.5,5.69,5.32,5.69,2.3,28755.0,0.0
2002-10-16,5.7,5.7,5.5,5.5,2.23,6455.0,0.0
2002-10-17,5.65,5.65,5.65,5.65,2.29,50270.0,0.0
2002-10-18,5.7,5.7,5.5,5.6,2.27,13572.0,0.0
2002-10-21,5.7,6.65,5.7,6.51,2.64,35806.0,0.0
2002-10-22,6.64,6.95,6.2,6.2,2.51,54291.0,0.0
2002-10-23,6.2,6.75,6.2,6.6,2.67,23640.0,0.0
2002-10-24,6.75,6.75,6.25,6.4,2.59,14970.0,0.0
2002-10-25,6.4,6.4,6.25,6.4,2.59,9290.0,0.0
2002-10-28,6.6,6.75,6.25,6.55,2.65,15322.0,0.0
2002-10-29,6.6,6.75,6.4,6.4,2.59,9970.0,0.0
2002-10-30,6.35,6.5,6.25,6.4,2.59,11579.0,0.0
2002-10-31,6.5,6.65,6.21,6.31,2.55,26193.0,0.0
2002-11-01,6.69,6.69,6.25,6.25,2.53,1009.0,0.0
2002-11-04,6.4,6.7,6.4,6.65,2.69,32097.0,0.0
2002-11-05,6.53,6.54,6.15,6.2,2.51,48469.0,0.0
2002-11-06,6.25,6.4,6.19,6.2,2.51,24037.0,0.0
2002-11-07,6.2,6.21,5.9,5.9,2.39,52287.0,0.0
2002-11-08,6.0,6.15,5.95,5.95,2.41,12975.0,0.0
2002-11-11,6.1,6.1,6.0,6.0,2.43,1110.0,0.0
2002-11-12,6.0,6.1,5.95,5.95,2.41,7774.0,0.0
2002-11-13,5.95,6.0,5.91,5.99,2.43,6550.0,0.0
2002-11-14,5.99,6.05,5.95,6.0,2.43,24650.0,0.0
2002-11-15,6.05,6.1,5.89,5.91,2.39,28624.0,0.0
2002-11-18,6.0,6.05,5.92,6.0,2.43,11469.0,0.0
2002-11-19,6.0,6.0,5.89,5.99,2.43,5946.0,0.0
2002-11-20,5.99,6.0,5.89,5.99,2.43,11773.0,0.0
2002-11-21,6.0,6.1,6.0,6.05,2.45,31116.0,0.0
2002-11-22,6.1,6.1,6.0,6.1,2.47,17818.0,0.0
2002-11-25,6.0,6.19,6.0,6.0,2.43,20669.0,0.0
2002-11-26,6.1,6.18,6.0,6.05,2.45,10398.0,0.0
2002-11-27,6.01,6.1,6.01,6.05,2.45,50720.0,0.0
2002-11-28,6.11,6.35,6.09,6.35,2.57,31411.0,0.0
2002-11-29,6.35,6.64,6.35,6.55,2.65,35539.0,0.0
2002-12-02,6.59,6.85,6.55,6.7,2.71,13943.0,0.0
2002-12-03,6.75,6.75,6.25,6.3,2.55,32160.0,0.0
2002-12-04,6.3,6.3,6.1,6.19,2.51,138100.0,0.0
2002-12-05,6.12,6.3,6.1,6.15,2.49,63680.0,0.0
2002-12-06,6.1,6.1,6.0,6.0,2.43,63956.0,0.0
2002-12-09,6.0,6.05,6.0,6.01,2.43,36548.0,0.0
2002-12-10,6.0,6.0,5.95,6.0,2.43,6860.0,0.0
