Date,Open,High,Low,Close,Adj Close,Volume,Dividend
2007-12-28,58.4,58.4,58.4,58.4,30.91,95.0,0.0
2008-01-02,57.26,57.3,56.01,56.01,29.64,520.0,0.0
2008-01-03,56.78,56.78,56.78,56.78,30.05,40.0,0.0
2008-01-04,56.15,56.15,56.15,56.15,29.72,130.0,0.0
2008-01-08,55.2,55.2,55.2,55.2,29.22,80.0,0.0
2008-01-10,53.94,54.04,53.94,54.04,28.6,160.0,0.0
2008-01-11,54.03,54.28,54.03,54.1,28.63,488.0,0.0
2008-01-14,52.59,52.59,51.96,52.23,27.64,658.0,0.0
2008-01-15,52.8,52.8,52.45,52.45,27.76,333.0,0.0
2008-01-16,51.5,52.93,51.5,52.93,28.01,144.0,0.0
2008-01-17,54.04,54.04,54.04,54.04,28.6,5.0,0.0
2008-01-18,51.45,51.45,51.45,51.45,27.23,380.0,0.0
2008-01-21,50.42,50.42,50.42,50.42,26.69,40.0,0.0
2008-01-22,50.2,51.0,50.2,51.0,26.99,1325.0,0.0
2008-01-23,51.46,51.46,50.9,50.9,26.94,29.0,0.0
2008-01-24,52.08,52.08,51.6,51.6,27.31,1320.0,0.0
2008-01-28,51.27,51.27,51.27,51.27,27.14,1111.0,0.0
2008-01-29,51.32,52.5,51.32,52.21,27.63,1322.0,0.0
2008-01-30,52.93,53.29,52.93,53.29,28.2,100.0,0.0
2008-01-31,52.5,53.1,52.5,53.1,28.1,60.0,0.0
2008-02-01,54.16,54.16,54.16,54.16,28.66,200.0,0.0
2008-02-05,54.1,54.4,54.1,54.4,28.79,275.0,0.0
2008-02-06,54.08,54.08,54.08,54.08,28.62,25.0,0.0
2008-02-07,54.3,54.3,53.98,53.98,28.57,179.0,0.0
2008-02-08,55.03,55.15,54.5,54.57,28.88,220.0,0.0
2008-02-13,54.88,54.88,54.88,54.88,29.05,50.0,0.0
2008-02-14,55.5,55.93,55.5,55.78,29.52,535.0,0.0
2008-02-18,54.82,54.82,54.82,54.82,29.01,7.0,0.0
2008-02-19,54.22,54.22,54.22,54.22,28.7,95.0,0.0
2008-02-20,53.93,54.27,53.93,54.27,28.99,80.0,0.4312
2008-02-21,54.4,54.4,54.4,54.4,29.06,1000.0,0.0
2008-02-22,53.48,53.48,52.94,53.21,28.42,148.0,0.0
2008-02-26,54.0,54.0,54.0,54.0,28.85,95.0,0.0
2008-02-29,52.0,52.0,52.0,52.0,27.78,40.0,0.0
2008-03-03,51.65,51.65,51.15,51.42,27.47,3192.0,0.0
2008-03-04,52.15,52.15,51.4,51.9,27.72,118.0,0.0
2008-03-05,51.36,52.15,51.36,51.5,27.51,99.0,0.0
2008-03-06,51.36,51.42,51.36,51.42,27.47,1190.0,0.0
2008-03-07,50.41,51.0,50.11,51.0,27.24,1180.0,0.0
2008-03-10,49.99,49.99,49.4,49.5,26.44,182.0,0.0
2008-03-14,50.65,50.65,50.06,50.06,26.74,6.0,0.0
2008-03-17,48.8,49.38,48.3,49.38,26.38,1341.0,0.0
2008-03-18,50.69,50.78,50.69,50.78,27.13,200.0,0.0
2008-03-20,51.13,51.13,50.71,50.71,27.09,3700.0,0.0
2008-03-26,49.7,49.76,49.7,49.76,26.58,260.0,0.0
2008-03-31,49.5,49.52,49.5,49.52,26.45,413.0,0.0
2008-04-02,51.99,52.2,51.99,52.2,27.88,413.0,0.0
2008-04-03,51.77,51.79,51.35,51.35,27.43,1160.0,0.0
2008-04-07,51.26,51.26,51.26,51.26,27.38,100.0,0.0
2008-04-08,52.25,52.25,50.8,50.8,27.14,630.0,0.0
2008-04-09,50.63,50.63,50.63,50.63,27.05,200.0,0.0
2008-04-10,50.38,51.22,50.38,51.22,27.36,100.0,0.0
2008-04-11,50.47,50.47,50.41,50.43,26.94,900.0,0.0
2008-04-15,49.85,49.85,49.78,49.78,26.59,100.0,0.0
2008-04-16,50.23,50.72,49.68,50.72,27.09,580.0,0.0
2008-04-17,50.92,50.92,50.62,50.62,27.04,198.0,0.0
2008-04-18,51.17,51.17,51.17,51.17,27.33,200.0,0.0
2008-04-21,52.0,52.0,51.99,51.99,27.77,500.0,0.0
2008-04-22,51.96,51.96,51.1,51.1,27.3,200.0,0.0
2008-04-23,51.16,51.16,51.16,51.16,27.33,91.0,0.0
2008-04-24,51.18,51.44,50.3,51.21,27.36,865.0,0.0
2008-04-25,50.84,50.84,49.03,49.03,26.19,818.0,0.0
2008-04-28,50.9,50.9,49.11,49.11,26.23,1264.0,0.0
2008-04-29,49.39,49.52,49.39,49.52,26.45,180.0,0.0
2008-04-30,49.94,49.94,49.94,49.94,26.68,424.0,0.0
2008-05-02,50.6,50.6,50.6,50.6,27.03,220.0,0.0
2008-05-05,50.3,50.3,50.3,50.3,26.87,150.0,0.0
2008-05-06,50.31,50.31,50.31,50.31,26.87,10.0,0.0
2008-05-07,50.61,50.61,50.61,50.61,27.04,100.0,0.0
2008-05-08,51.17,51.17,49.82,49.82,26.61,420.0,0.0
2008-05-09,49.37,49.46,49.15,49.29,26.33,400.0,0.0
2008-05-12,49.35,49.35,49.33,49.33,26.35,500.0,0.0
2008-05-14,50.85,50.85,50.85,50.85,27.16,140.0,0.0
2008-05-15,49.97,50.37,49.97,50.37,26.91,555.0,0.0
2008-05-16,50.52,50.52,50.42,50.42,26.93,300.0,0.0
2008-05-19,50.15,50.15,50.15,50.15,26.79,18.0,0.0
2008-05-20,50.65,50.65,50.65,50.65,27.06,150.0,0.0
2008-05-21,48.14,49.2,48.14,49.2,26.54,541.0,0.4312
2008-05-22,48.92,48.92,48.88,48.88,26.37,175.0,0.0
2008-05-23,48.97,48.97,48.08,48.08,25.94,57.0,0.0
2008-05-26,48.27,48.27,48.27,48.27,26.04,112.0,0.0
2008-05-28,48.62,49.2,48.62,49.2,26.54,40.0,0.0
2008-05-29,49.52,49.63,49.52,49.62,26.77,1400.0,0.0
2008-05-30,50.02,50.16,49.94,49.94,26.94,120.0,0.0
2008-06-02,50.98,50.98,49.01,49.01,26.44,379.0,0.0
2008-06-03,49.3,49.3,49.3,49.3,26.6,100.0,0.0
2008-06-04,50.0,50.0,50.0,50.0,26.98,80.0,0.0
2008-06-05,49.85,49.85,49.55,49.55,26.73,217.0,0.0
2008-06-06,48.61,48.61,47.73,47.73,25.75,80.0,0.0
