Date,Open,High,Low,Close,Adj Close,Volume,Dividend
2000-01-03,1.52,1.54,1.48,1.49,0.45,775472.0,0.0
2000-01-04,1.50,1.50,1.41,1.41,0.43,786100.0,0.0
2000-01-05,1.41,1.49,1.40,1.43,0.43,702520.0,0.0
2000-01-07,1.48,1.51,1.44,1.50,0.46,319884.0,0.0
2000-01-10,1.51,1.52,1.50,1.50,0.46,256932.0,0.0
2000-01-11,1.50,1.52,1.50,1.50,0.46,290704.0,0.0
2000-01-12,1.50,1.51,1.50,1.50,0.46,200404.0,0.0
2000-01-13,1.50,1.52,1.50,1.50,0.45,216776.0,0.0
2000-01-14,1.50,1.52,1.49,1.52,0.46,1348372.0,0.0
2000-01-17,1.48,1.53,1.48,1.50,0.46,314128.0,0.0
2000-01-18,1.50,1.51,1.46,1.48,0.45,1040532.0,0.0
2000-01-19,1.46,1.50,1.45,1.50,0.46,806060.0,0.0
2000-01-20,1.51,1.51,1.48,1.49,0.45,364740.0,0.0
2000-01-21,1.50,1.51,1.49,1.50,0.45,351928.0,0.0
2000-01-24,1.50,1.51,1.50,1.50,0.46,418352.0,0.0
2000-01-25,1.51,1.51,1.50,1.50,0.46,348588.0,0.0
2000-01-26,1.50,1.50,1.50,1.50,0.46,294324.0,0.0
2000-01-27,1.50,1.50,1.49,1.50,0.46,386724.0,0.0
2000-01-28,1.50,1.50,1.49,1.49,0.45,197472.0,0.0
2000-01-31,1.49,1.50,1.42,1.44,0.44,889416.0,0.0
2000-02-01,1.47,1.49,1.45,1.46,0.44,595216.0,0.0
2000-02-02,1.46,1.48,1.43,1.45,0.44,385096.0,0.0
2000-02-03,1.46,1.47,1.44,1.47,0.44,350812.0,0.0
2000-02-04,1.47,1.47,1.44,1.46,0.44,403024.0,0.0
2000-02-07,1.45,1.46,1.44,1.44,0.44,244588.0,0.0
2000-02-08,1.44,1.45,1.44,1.45,0.44,288128.0,0.0
2000-02-09,1.45,1.46,1.44,1.45,0.44,620836.0,0.0
2000-02-10,1.44,1.45,1.42,1.43,0.44,445816.0,0.0
2000-02-11,1.45,1.45,1.40,1.40,0.43,390608.0,0.0
2000-02-14,1.40,1.42,1.35,1.38,0.42,1224500.0,0.0
2000-02-15,1.38,1.41,1.34,1.35,0.41,1999644.0,0.0
2000-02-16,1.36,1.39,1.35,1.37,0.41,1830944.0,0.0
2000-02-17,1.39,1.45,1.38,1.40,0.43,336480.0,0.0
2000-02-18,1.45,1.48,1.41,1.44,0.44,1252316.0,0.0
2000-02-21,1.44,1.47,1.41,1.45,0.44,488748.0,0.0
2000-02-22,1.45,1.67,1.45,1.67,0.51,4741612.0,0.0
2000-02-23,1.90,1.90,1.67,1.67,0.51,12713784.0,0.0
2000-02-24,1.78,1.79,1.60,1.64,0.50,4469160.0,0.0
2000-02-25,1.68,2.35,1.68,2.31,0.70,20705416.0,0.0
2000-02-28,2.35,3.11,2.35,2.61,0.79,42543600.0,0.0
2000-02-29,2.80,2.88,2.53,2.70,0.82,14687116.0,0.0
2000-03-01,2.78,2.78,2.50,2.50,0.76,6859692.0,0.0
2000-03-02,2.49,2.58,2.38,2.58,0.78,8021896.0,0.0
2000-03-03,2.60,2.80,2.60,2.63,0.80,5157372.0,0.0
2000-03-06,2.72,2.73,2.66,2.69,0.82,4550988.0,0.0
2000-03-07,2.70,2.72,2.55,2.57,0.78,1999988.0,0.0
2000-03-08,2.50,2.67,2.50,2.58,0.78,2480564.0,0.0
2000-03-09,2.66,2.70,2.59,2.63,0.80,2928396.0,0.0
2000-03-10,2.65,2.66,2.60,2.66,0.81,1513136.0,0.0
2000-03-14,2.63,2.84,2.63,2.82,0.85,8800272.0,0.0
2000-03-15,2.83,2.84,2.71,2.71,0.82,2656376.0,0.0
2000-03-16,2.76,2.82,2.69,2.70,0.82,2731088.0,0.0
2000-03-17,2.75,2.75,2.63,2.66,0.81,1181668.0,0.0
2000-03-20,2.64,2.69,2.64,2.65,0.80,918320.0,0.0
2000-03-21,2.65,2.67,2.59,2.60,0.79,701108.0,0.0
2000-03-22,2.60,2.63,2.58,2.58,0.78,926176.0,0.0
2000-03-23,2.58,2.59,2.51,2.55,0.77,1969404.0,0.0
2000-03-24,2.54,2.70,2.51,2.60,0.79,2866020.0,0.0
2000-03-27,2.62,2.65,2.61,2.65,0.80,1593804.0,0.0
2000-03-28,2.65,2.65,2.60,2.60,0.79,861728.0,0.0
2000-03-29,2.60,2.69,2.60,2.66,0.81,995504.0,0.0
2000-03-30,2.61,2.64,2.61,2.62,0.80,4421136.0,0.0
2000-03-31,2.61,2.64,2.56,2.57,0.78,1281220.0,0.0
2000-04-03,2.59,2.63,2.54,2.55,0.77,673020.0,0.0
2000-04-04,2.56,2.61,2.54,2.55,0.77,705840.0,0.0
2000-04-05,2.55,2.59,2.40,2.45,0.74,1368036.0,0.0
2000-04-06,2.44,2.55,2.44,2.53,0.77,842164.0,0.0
2000-04-07,2.54,2.56,2.47,2.52,0.77,1094124.0,0.0
2000-04-10,2.53,2.69,2.48,2.57,0.78,2476536.0,0.0
2000-04-11,2.55,2.63,2.50,2.53,0.77,1553096.0,0.0
2000-04-12,2.54,2.55,2.52,2.55,0.77,558348.0,0.0
2000-04-13,2.51,2.56,2.51,2.55,0.77,613380.0,0.0
2000-04-14,2.52,2.56,2.51,2.52,0.76,720556.0,0.0
2000-04-17,2.44,2.44,2.25,2.44,0.74,1843744.0,0.0
2000-04-18,2.47,2.48,2.40,2.44,0.74,450408.0,0.0
2000-04-19,2.42,2.44,2.39,2.40,0.73,300892.0,0.0
2000-04-20,2.39,2.44,2.39,2.40,0.73,152208.0,0.0
2000-04-25,2.38,2.46,2.38,2.45,0.74,666896.0,0.0
2000-04-26,2.47,2.49,2.44,2.47,0.75,705288.0,0.0
2000-04-27,2.47,2.54,2.45,2.50,0.76,1356228.0,0.0
2000-04-28,2.53,2.54,2.47,2.53,0.77,1409532.0,0.0
2000-05-02,2.54,2.61,2.53,2.60,0.79,983980.0,0.0
2000-05-03,2.56,2.62,2.56,2.58,0.78,820284.0,0.0
2000-05-04,2.58,2.67,2.54,2.66,0.81,1844800.0,0.0
2000-05-05,2.63,2.67,2.62,2.63,0.80,1022596.0,0.0
2000-05-08,2.60,2.66,2.60,2.62,0.79,685568.0,0.0
2000-05-10,2.59,2.64,2.59,2.60,0.79,885080.0,0.0
2000-05-11,2.58,2.63,2.57,2.63,0.80,840028.0,0.0
2000-05-12,2.63,2.64,2.61,2.63,0.80,1657432.0,0.0
2000-05-15,2.63,2.63,2.60,2.63,0.80,371480.0,0.0
2000-05-16,2.63,2.76,2.60,2.74,0.83,5179708.0,0.0
2000-05-17,2.76,2.77,2.66,2.70,0.82,1217528.0,0.0
2000-05-18,2.70,2.82,2.68,2.75,0.84,3911652.0,0.0
2000-05-19,2.77,2.83,2.61,2.63,0.80,2899556.0,0.0
2000-05-22,2.63,2.69,2.61,2.65,0.80,1371896.0,0.0
2000-05-23,2.65,2.82,2.65,2.80,0.85,3100220.0,0.0
2000-05-24,2.76,2.87,2.74,2.85,0.86,2276724.0,0.0
2000-05-25,2.86,2.87,2.82,2.82,0.86,1138488.0,0.0
2000-05-26,2.82,2.82,2.75,2.77,0.84,380648.0,0.0
2000-05-29,2.81,2.86,2.75,2.78,0.84,755956.0,0.0
2000-05-30,2.81,2.82,2.77,2.82,0.85,587688.0,0.0
2000-05-31,2.84,2.84,2.79,2.84,0.86,601456.0,0.0
2000-06-01,2.85,3.05,2.81,3.03,0.92,5507556.0,0.0
2000-06-02,3.03,3.10,3.01,3.08,0.93,4745520.0,0.0
2000-06-05,3.11,3.27,3.08,3.22,0.98,5840584.0,0.0
2000-06-06,3.28,3.34,3.03,3.13,0.95,5283272.0,0.0
2000-06-07,3.15,3.22,3.00,3.00,0.91,3836712.0,0.0
2000-06-08,3.17,3.20,3.06,3.09,0.94,2434360.0,0.0
2000-06-09,3.09,3.16,3.05,3.12,0.95,1546068.0,0.0
2000-06-12,3.13,3.16,3.09,3.15,0.96,1011508.0,0.0
2000-06-13,3.14,3.14,3.08,3.10,0.94,566648.0,0.0
2000-06-14,3.10,3.12,3.06,3.07,0.93,602420.0,0.0
2000-06-15,3.05,3.08,2.98,3.01,0.91,1854544.0,0.0
2000-06-16,3.00,3.02,2.89,3.00,0.91,1282696.0,0.0
2000-06-20,2.92,3.04,2.92,3.00,0.91,5220252.0,0.0
2000-06-21,3.00,3.10,2.99,3.08,0.93,2051272.0,0.0
2000-06-22,3.08,3.18,3.08,3.13,0.95,2484496.0,0.0
2000-06-23,3.12,3.34,3.08,3.34,1.01,3046804.0,0.0
2000-06-26,3.32,3.47,3.29,3.39,1.03,4179776.0,0.0
2000-06-27,3.38,3.40,3.22,3.22,0.98,2298988.0,0.0
2000-06-28,3.24,3.24,3.11,3.13,0.95,1135208.0,0.0
2000-06-29,3.13,3.17,3.09,3.10,0.94,1567552.0,0.0
