Date,Open,High,Low,Close,Adj Close,Volume,Dividend
2000-01-03,5.86,5.90,5.82,5.84,1.84,51637.0,0.0
2000-01-04,5.86,5.93,5.84,5.90,1.86,48389.0,0.0
2000-01-05,5.86,5.88,5.76,5.86,1.84,18771.0,0.0
2000-01-06,5.83,5.86,5.76,5.86,1.84,23411.0,0.0
2000-01-07,5.86,5.86,5.80,5.82,1.83,31013.0,0.0
2000-01-10,5.86,5.86,5.78,5.78,1.82,51658.0,0.0
2000-01-11,5.83,5.86,5.77,5.77,1.81,32003.0,0.0
2000-01-12,5.83,5.86,5.77,5.83,1.83,12305.0,0.0
2000-01-13,5.83,5.89,5.78,5.78,1.82,22561.0,0.0
2000-01-14,5.86,5.86,5.78,5.78,1.82,13739.0,0.0
2000-01-17,5.86,6.00,5.86,5.97,1.88,48576.0,0.0
2000-01-18,5.97,6.04,5.86,6.00,1.89,45260.0,0.0
2000-01-19,6.02,6.02,5.85,5.94,1.87,33232.0,0.0
2000-01-20,5.81,5.89,5.81,5.89,1.85,23381.0,0.0
2000-01-21,5.86,5.86,5.81,5.81,1.83,33514.0,0.0
2000-01-24,5.82,5.86,5.81,5.81,1.83,28682.0,0.0
2000-01-25,5.81,5.86,5.79,5.86,1.84,30820.0,0.0
2000-01-26,5.81,5.86,5.71,5.81,1.83,37539.0,0.0
2000-01-27,5.66,5.81,5.65,5.80,1.82,13632.0,0.0
2000-01-28,5.67,5.81,5.67,5.72,1.80,12181.0,0.0
2000-01-31,5.81,5.86,5.70,5.70,1.79,25720.0,0.0
2000-02-01,5.72,5.86,5.70,5.70,1.79,16313.0,0.0
2000-02-02,5.70,5.83,5.65,5.74,1.80,34777.0,0.0
2000-02-03,5.72,5.72,5.58,5.62,1.77,26791.0,0.0
2000-02-04,5.62,5.69,5.51,5.61,1.76,45123.0,0.0
2000-02-07,5.60,5.60,5.48,5.58,1.75,20914.0,0.0
2000-02-08,5.60,5.60,5.48,5.48,1.72,34572.0,0.0
2000-02-09,5.48,5.51,5.37,5.40,1.70,36493.0,0.0
2000-02-10,5.48,5.61,5.40,5.61,1.76,16953.0,0.0
2000-02-11,5.61,5.72,5.51,5.62,1.77,21315.0,0.0
2000-02-14,5.62,5.62,5.51,5.62,1.77,24354.0,0.0
2000-02-15,5.62,5.62,5.51,5.59,1.76,13240.0,0.0
2000-02-16,5.59,5.62,5.51,5.62,1.77,24619.0,0.0
2000-02-17,5.62,5.62,5.58,5.62,1.77,7635.0,0.0
2000-02-18,5.62,5.62,5.53,5.60,1.76,13376.0,0.0
2000-02-21,5.60,5.60,5.45,5.45,1.71,26868.0,0.0
2000-02-22,5.44,5.59,5.39,5.58,1.75,46613.0,0.0
2000-02-23,5.60,5.60,5.41,5.51,1.73,16889.0,0.0
2000-02-24,5.60,5.60,5.51,5.51,1.73,10534.0,0.0
2000-02-25,5.51,5.60,5.41,5.58,1.76,16078.0,0.0
2000-02-28,5.72,5.86,5.65,5.83,1.83,87456.0,0.0
2000-02-29,5.86,5.95,5.78,5.95,1.87,42456.0,0.0
2000-03-01,5.99,6.30,5.97,6.09,1.92,51026.0,0.0
2000-03-02,6.23,6.26,6.01,6.09,1.92,26125.0,0.0
2000-03-03,6.09,6.15,5.97,6.12,1.93,31606.0,0.0
2000-03-06,6.11,6.12,5.95,6.00,1.89,12181.0,0.0
2000-03-07,5.93,5.96,5.86,5.86,1.84,30197.0,0.0
2000-03-08,5.86,5.96,5.86,5.90,1.86,28392.0,0.0
2000-03-09,5.87,5.93,5.87,5.88,1.85,14051.0,0.0
2000-03-10,5.87,6.09,5.87,6.07,1.91,54394.0,0.0
2000-03-13,6.09,6.11,5.99,6.00,1.89,45456.0,0.0
2000-03-14,6.00,6.08,5.99,5.99,1.88,19971.0,0.0
2000-03-15,5.90,6.04,5.86,5.90,1.86,25054.0,0.0
2000-03-16,6.02,6.04,5.89,5.97,1.88,20679.0,0.0
2000-03-17,6.08,6.10,5.97,6.10,1.92,85949.0,0.0
2000-03-20,6.13,6.14,6.04,6.08,1.91,77370.0,0.0
2000-03-21,6.14,6.14,6.07,6.07,1.91,46250.0,0.0
2000-03-22,6.09,6.09,6.02,6.02,1.89,25020.0,0.0
2000-03-23,6.03,6.08,6.00,6.02,1.89,17051.0,0.0
2000-03-24,6.02,6.04,5.90,6.04,1.90,20833.0,0.0
2000-03-27,6.04,6.08,5.97,6.07,1.91,21183.0,0.0
2000-03-28,6.07,6.08,6.03,6.03,1.90,26296.0,0.0
2000-03-29,6.07,6.07,6.02,6.02,1.89,22805.0,0.0
2000-03-30,6.04,6.07,6.00,6.07,1.91,18827.0,0.0
2000-03-31,6.08,6.08,6.01,6.03,1.90,13094.0,0.0
2000-04-03,6.03,6.03,6.00,6.02,1.89,42533.0,0.0
2000-04-04,6.01,6.02,5.91,5.96,1.88,22506.0,0.0
2000-04-05,5.93,5.97,5.86,5.88,1.85,37727.0,0.0
2000-04-06,5.88,6.02,5.86,6.02,1.89,14712.0,0.0
2000-04-07,5.92,6.07,5.92,6.07,1.91,25139.0,0.0
