Date,Open,High,Low,Close,Adj Close,Volume,Dividend
2000-01-03,159.92,163.4,159.92,162.7,162.7,9293,0.0
2000-01-04,162.24,162.24,147.76,162.24,162.24,42032,0.0
2000-01-05,143.7,148.33,139.18,144.86,144.86,29278,0.0
2000-01-06,140.22,142.54,135.24,142.31,142.31,17292,0.0
2000-01-07,141.38,141.38,139.06,140.22,140.22,21339,0.0
2000-01-10,142.54,142.54,141.15,141.96,141.96,69757,0.0
2000-01-11,141.27,141.38,139.06,139.06,139.06,221121,0.0
2000-01-12,141.38,141.38,139.18,139.64,139.64,19501,0.0
2000-01-13,140.22,141.38,139.06,139.06,139.06,18500,0.0
2000-01-14,142.54,142.54,137.9,141.96,141.96,41549,0.0
2000-01-17,142.54,142.54,136.75,136.75,136.75,40522,0.0
2000-01-18,144.97,148.33,144.97,148.33,148.33,28441,0.0
2000-01-19,181.21,181.21,163.09,163.09,163.09,123992,0.0
2000-01-20,191.21,217.4,185.42,199.32,199.32,219542,0.0
2000-01-21,202.8,208.6,197.01,199.32,199.32,312322,0.0
2000-01-24,219.03,219.03,202.8,208.71,208.71,186449,0.0
2000-01-25,218.79,218.91,208.02,212.07,212.07,81269,0.0
2000-01-26,220.18,220.18,213.35,217.4,217.4,109840,0.0
2000-01-27,217.4,217.87,212.88,216.71,216.71,48547,0.0
2000-01-28,216.71,217.29,213.58,214.51,214.51,133311,0.0
2000-01-31,214.39,215.55,213.23,215.32,215.32,35569,0.0
2000-02-01,212.07,212.07,197.01,197.01,197.01,31073,0.0
2000-02-02,185.42,188.32,168.61,176.15,176.15,202767,0.0
2000-02-03,191.21,191.21,175.22,183.8,183.8,104757,0.0
2000-02-04,191.21,213.23,191.21,213.23,213.23,61042,0.0
2000-02-07,214.39,226.09,210.91,223.66,223.66,31893,0.0
2000-02-08,231.77,258.31,231.54,256.22,256.22,48133,0.0
2000-02-09,275.81,278.13,272.33,272.33,272.33,21426,0.0
2000-02-10,243.36,266.54,243.36,259.7,259.7,37260,0.0
2000-02-11,266.54,273.84,263.64,272.33,272.33,78016,0.0
2000-02-14,275.81,275.81,254.95,262.14,262.14,27069,0.0
2000-02-15,246.84,260.74,246.84,254.95,254.95,47581,0.0
2000-02-16,259.47,259.47,220.18,220.3,220.3,32877,0.0
2000-02-17,242.2,254.95,231.77,254.95,254.95,18241,0.0
