Date,Open,High,Low,Close,Adj Close,Volume,Dividend
2000-01-03,7.88,8.07,7.65,7.65,3.16,7088014.0,0.0
2000-01-04,7.88,7.96,7.76,7.90,3.27,5190138.0,0.0
2000-01-05,7.75,8.19,7.58,8.17,3.38,11872851.0,0.0
2000-01-06,8.33,8.40,8.13,8.25,3.41,5010512.0,0.0
2000-01-07,8.30,8.46,8.19,8.38,3.47,9309749.0,0.0
2000-01-10,8.36,8.43,8.12,8.13,3.36,7414157.0,0.0
2000-01-11,8.19,8.21,7.91,8.01,3.31,4527956.0,0.0
2000-01-12,7.87,8.00,7.82,8.00,3.31,4041975.0,0.0
2000-01-13,7.87,8.11,7.86,8.11,3.35,4048064.0,0.0
2000-01-14,8.01,8.11,7.86,7.99,3.30,5812361.0,0.0
2000-01-17,7.94,8.04,7.78,7.79,3.22,6713919.0,0.0
2000-01-18,7.83,7.90,7.69,7.71,3.19,6058587.0,0.0
2000-01-19,7.73,7.73,7.63,7.67,3.17,3769491.0,0.0
2000-01-20,7.68,7.73,7.57,7.64,3.16,6199395.0,0.0
2000-01-21,7.58,7.69,7.53,7.53,3.11,5417335.0,0.0
2000-01-24,7.63,7.70,7.50,7.56,3.13,4078890.0,0.0
2000-01-25,7.56,7.57,7.36,7.47,3.09,5728637.0,0.0
2000-01-26,7.44,7.50,7.25,7.30,3.02,6599369.0,0.0
2000-01-27,7.57,7.74,7.52,7.63,3.15,10816404.0,0.0
2000-01-28,7.83,7.84,7.55,7.62,3.15,6403378.0,0.0
2000-01-31,7.55,7.71,7.54,7.63,3.16,3260676.0,0.0
2000-02-01,8.42,8.42,7.60,8.38,3.47,11338919.0,0.0
2000-02-02,8.38,9.09,7.96,8.63,3.57,46877556.0,0.0
2000-02-03,8.67,9.01,8.38,8.41,3.48,16689276.0,0.0
2000-02-04,8.41,8.41,8.01,8.04,3.33,10592252.0,0.0
2000-02-07,8.13,8.38,7.94,8.04,3.33,8057311.0,0.0
2000-02-08,8.15,8.51,8.03,8.26,3.42,9259895.0,0.0
