Date,Open,High,Low,Close,Adj Close,Volume,Dividend
2000-01-03,33.88,34.20,32.75,33.00,9.62,4044084.0,0.0
2000-01-04,33.00,32.95,31.65,31.80,9.27,6565240.0,0.0
2000-01-05,31.50,31.75,30.77,31.00,9.04,8296864.0,0.0
2000-01-06,31.00,31.50,30.10,30.10,8.78,9581504.0,0.0
2000-01-07,30.50,31.13,29.90,30.25,8.82,16985068.0,0.0
2000-01-10,30.63,30.95,29.67,30.27,8.83,7909764.0,0.0
2000-01-11,30.40,30.50,29.73,30.50,8.90,7725848.0,0.0
2000-01-12,30.13,30.58,29.98,30.00,8.75,7020096.0,0.0
2000-01-13,30.00,30.13,29.63,29.88,8.71,5814680.0,0.0
2000-01-14,30.13,30.98,30.00,30.65,8.94,6777968.0,0.0
2000-01-17,30.95,31.80,30.95,31.75,9.26,7411212.0,0.0
2000-01-18,31.75,31.90,30.25,30.33,8.84,8380272.0,0.0
2000-01-19,31.13,32.22,30.88,31.75,9.26,12372944.0,0.0
2000-01-20,32.25,33.50,32.15,32.33,9.43,13845648.0,0.0
2000-01-21,32.25,33.45,32.03,32.88,9.59,6568556.0,0.0
2000-01-24,32.67,34.38,32.63,33.72,9.84,8316100.0,0.0
2000-01-25,33.42,34.00,33.00,33.08,9.65,7547968.0,0.0
2000-01-26,33.28,33.60,32.25,32.72,9.54,7936096.0,0.0
2000-01-27,33.25,33.25,32.03,32.83,9.57,6087604.0,0.0
2000-01-28,33.50,33.35,32.20,32.35,9.44,4399264.0,0.0
2000-01-31,31.75,32.33,31.38,31.80,9.27,5216332.0,0.0
2000-02-01,31.63,32.75,31.63,32.38,9.44,4742288.0,0.0
2000-02-02,32.75,33.75,32.17,33.63,9.81,5084224.0,0.0
2000-02-03,34.00,34.25,32.90,33.42,9.75,6518564.0,0.0
2000-02-04,33.97,34.58,33.28,33.80,9.86,5505360.0,0.0
2000-02-07,33.75,34.92,33.58,33.80,9.86,4864064.0,0.0
2000-02-08,34.60,36.90,34.28,35.38,10.32,10220100.0,0.0
2000-02-09,36.25,37.20,35.20,36.78,10.73,12234200.0,0.0
2000-02-10,36.50,36.50,34.90,35.25,10.28,9199092.0,0.0
2000-02-11,35.70,35.75,33.17,34.22,9.98,6944408.0,0.0
2000-02-14,34.50,34.75,32.90,34.03,9.92,4808980.0,0.0
2000-02-15,34.75,35.22,34.13,34.75,10.13,6437716.0,0.0
2000-02-16,35.13,35.92,34.88,35.90,10.47,6410680.0,0.0
2000-02-17,35.70,36.22,34.90,35.72,10.42,4725108.0,0.0
2000-02-18,35.45,35.78,34.80,35.17,10.26,3709480.0,0.0
2000-02-21,34.63,34.97,33.88,34.03,9.92,3240068.0,0.0
2000-02-22,34.25,34.63,33.63,34.47,10.05,5069152.0,0.0
