Date,Open,High,Low,Close,Adj Close,Volume,Dividend
2007-12-27,25.8,25.8,25.8,25.8,16.81,504.0,0.0
2008-01-02,26.0,26.0,25.66,25.66,16.72,290.0,0.0
2008-01-07,25.25,25.25,25.25,25.25,16.45,1180.0,0.0
2008-01-11,23.26,23.26,23.26,23.26,15.16,60.0,0.0
2008-01-22,24.0,24.0,24.0,24.0,15.64,10.0,0.0
2008-02-22,21.5,21.5,21.5,21.5,14.01,210.0,0.0
2008-03-17,21.6,21.6,21.6,21.6,14.07,1000.0,0.0
2008-04-21,22.01,22.01,22.01,22.01,14.34,77.0,0.0
2008-04-23,22.01,22.01,22.01,22.01,14.34,21.0,0.0
2008-05-15,21.59,21.59,21.59,21.59,14.07,225.0,0.0
2008-05-16,22.4,22.4,22.4,22.4,14.6,225.0,0.0
2008-05-19,22.5,22.5,22.5,22.5,14.66,46.0,0.0
2008-05-20,22.5,22.5,22.5,22.5,14.66,8.0,0.0
2008-06-05,21.22,21.22,21.22,21.22,13.83,120.0,0.0
2008-06-06,21.7,21.7,21.7,21.7,14.14,50.0,0.0
2008-06-10,20.53,20.53,20.53,20.53,13.38,150.0,0.0
2008-08-15,19.47,19.47,19.47,19.47,12.69,559.0,0.0
2008-09-23,19.0,19.0,18.5,18.5,12.05,535.0,0.0
2008-10-06,19.05,19.05,19.05,19.05,12.41,110.0,0.0
2008-10-07,18.58,18.58,18.58,18.58,12.11,500.0,0.0
2008-10-08,18.1,18.1,18.1,18.1,11.79,100.0,0.0
2008-11-13,18.0,18.0,18.0,18.0,11.73,50.0,0.0
2008-11-18,17.55,17.55,17.55,17.55,11.44,57.0,0.0
2008-11-19,17.95,17.95,17.95,17.95,11.7,200.0,0.0
2008-11-27,17.27,17.27,17.27,17.27,11.25,200.0,0.0
2008-12-03,17.35,17.35,17.35,17.35,11.31,625.0,0.0
2008-12-15,16.24,16.24,16.24,16.24,10.58,200.0,0.0
2008-12-16,17.01,17.01,17.01,17.01,11.08,294.0,0.0
2009-08-17,19.59,19.59,19.59,19.59,12.76,69.0,0.0
2009-11-16,20.0,20.0,20.0,20.0,13.03,222.0,0.0
2009-11-17,20.9,20.9,20.8,20.8,13.55,121.0,0.0
2009-11-23,20.8,20.8,20.8,20.8,13.55,100.0,0.0
2009-11-26,19.9,19.9,19.9,19.9,12.97,100.0,0.0
2010-01-05,22.96,22.96,22.96,22.96,14.96,1000.0,0.0
2010-01-25,21.64,21.64,21.64,21.64,14.1,100.0,0.0
2010-02-05,21.15,21.3,21.15,21.3,13.88,430.0,0.0
2010-02-11,21.3,21.3,21.3,21.3,13.88,100.0,0.0
2010-02-17,21.3,21.3,20.58,20.58,13.41,1000.0,0.0
2010-03-02,21.93,21.93,21.93,21.93,14.29,210.0,0.0
2010-03-15,22.25,22.25,22.25,22.25,14.5,7.0,0.0
2010-03-17,22.25,22.25,22.25,22.25,14.5,20.0,0.0
2010-03-26,21.3,21.3,21.3,21.3,13.88,3000.0,0.0
2010-03-30,21.59,21.59,21.59,21.59,14.07,10.0,0.0
2010-04-07,22.45,22.45,22.45,22.45,14.63,30.0,0.0
2010-04-14,22.3,22.3,22.3,22.3,14.53,372.0,0.0
2010-04-19,22.01,22.01,22.01,22.01,14.34,500.0,0.0
2010-04-21,22.0,22.0,22.0,22.0,14.34,85.0,0.0
2010-04-22,22.5,22.5,22.5,22.5,14.66,100.0,0.0
2010-04-23,22.32,22.32,22.32,22.32,14.54,98.0,0.0
2010-04-26,23.65,23.65,22.84,22.84,14.88,219.0,0.0
2010-04-28,21.9,21.9,21.9,21.9,14.27,40.0,0.0
2010-04-29,23.5,23.5,22.8,22.8,14.86,100.0,0.0
2010-04-30,23.23,23.5,23.23,23.5,15.31,644.0,0.0
2010-05-03,23.3,23.3,23.3,23.3,15.18,550.0,0.0
2010-05-10,22.29,22.29,22.29,22.29,14.52,200.0,0.0
2010-05-12,,,,,,,0.23012252
2010-05-14,22.69,22.72,22.6,22.6,14.86,601.0,0.0
2010-05-17,22.6,22.6,22.6,22.6,14.86,140.0,0.0
2010-05-21,22.02,22.02,21.6,21.6,14.2,1102.0,0.0
2010-05-25,21.38,21.38,21.38,21.38,14.06,140.0,0.0
2010-05-27,22.17,22.17,22.17,22.17,14.58,200.0,0.0
2010-05-28,22.68,22.68,21.66,21.66,14.24,267.0,0.0
2010-06-01,22.68,22.68,22.68,22.68,14.91,250.0,0.0
2010-06-07,22.52,22.52,22.52,22.52,14.81,89.0,0.0
2010-06-09,22.7,22.7,22.7,22.7,14.93,300.0,0.0
2010-06-10,23.2,23.2,23.1,23.1,15.19,700.0,0.0
2010-06-11,23.85,23.85,23.85,23.85,15.68,2.0,0.0
2010-06-14,24.0,24.0,24.0,24.0,15.78,50.0,0.0
2010-06-15,23.95,23.95,23.25,23.25,15.29,452.0,0.0
2010-06-17,23.5,23.5,22.9,22.9,15.06,632.0,0.0
2010-06-21,23.1,23.1,23.1,23.1,15.19,140.0,0.0
2010-06-25,22.77,22.77,22.77,22.77,14.97,2.0,0.0
2010-06-28,22.83,22.83,22.15,22.15,14.56,62.0,0.0
2010-06-29,22.56,22.56,22.27,22.27,14.64,438.0,0.0
2010-06-30,22.0,22.0,22.0,22.0,14.47,100.0,0.0
2010-07-02,21.99,21.99,21.51,21.51,14.14,470.0,0.0
2010-07-09,22.0,22.0,22.0,22.0,14.47,100.0,0.0
2010-07-12,22.3,22.3,22.05,22.05,14.5,633.0,0.0
2010-07-14,23.0,23.0,23.0,23.0,15.12,500.0,0.0
2010-07-19,22.76,23.1,22.55,22.55,14.83,2165.0,0.0
2010-07-21,23.15,23.34,23.15,23.34,15.35,199.0,0.0
2010-07-27,23.4,23.4,23.4,23.4,15.39,50.0,0.0
2010-08-02,21.95,21.95,21.6,21.86,14.37,60.0,0.0
2010-08-03,22.58,22.58,22.58,22.58,14.85,50.0,0.0
2010-08-06,21.28,21.28,21.1,21.1,13.87,250.0,0.0
2010-08-09,21.24,21.24,21.24,21.24,13.97,100.0,0.0
2010-08-10,21.26,21.26,21.26,21.26,14.13,50.0,0.2504166
2010-08-11,21.33,21.33,21.33,21.33,14.3,23.0,0.2202954
2010-08-13,20.97,20.97,20.97,20.97,14.06,100.0,0.0
2010-08-16,20.93,20.93,20.93,20.93,14.03,40.0,0.0
2010-08-18,21.5,21.5,21.5,21.5,14.41,50.0,0.0
2010-08-20,21.37,21.37,21.37,21.37,14.33,150.0,0.0
2010-08-23,21.34,21.34,21.34,21.34,14.31,30.0,0.0
2010-08-27,21.64,21.64,21.64,21.64,14.51,23.0,0.0
2010-08-30,21.81,21.81,21.81,21.81,14.62,20.0,0.0
2010-09-01,20.49,20.49,20.49,20.49,13.74,200.0,0.0
2010-09-08,21.99,21.99,21.99,21.99,14.74,40.0,0.0
2010-09-09,22.16,22.16,22.16,22.16,14.86,100.0,0.0
2010-09-13,22.0,22.0,21.5,21.5,14.41,167.0,0.0
2010-09-16,21.76,21.76,21.76,21.76,14.59,300.0,0.0
2010-09-23,21.1,21.1,21.1,21.1,14.14,200.0,0.0
2010-09-27,22.1,22.39,22.1,22.39,15.01,450.0,0.0
2010-09-28,22.05,22.5,21.98,22.5,15.08,1100.0,0.0
2010-09-30,21.93,21.93,21.93,21.93,14.7,230.0,0.0
2010-10-01,21.97,21.97,21.97,21.97,14.72,223.0,0.0
2010-10-08,21.1,21.1,20.92,20.92,14.02,400.0,0.0
2010-10-11,20.94,21.54,20.3,20.3,13.61,100.0,0.0
2010-10-12,20.5,21.22,20.5,20.67,13.86,22.0,0.0
2010-10-19,21.09,21.09,20.59,20.59,13.8,12.0,0.0
2010-10-20,20.89,20.89,20.89,20.89,14.0,500.0,0.0
2010-10-25,21.58,21.58,20.9,21.3,14.28,178.0,0.0
2010-10-27,20.9,20.9,20.9,20.9,14.01,92.0,0.0
2010-11-01,21.1,21.53,21.1,21.53,14.43,96.0,0.0
2010-11-02,21.53,21.53,21.53,21.53,14.44,50.0,0.0
2010-11-03,21.5,21.5,21.5,21.5,14.41,100.0,0.0
2010-11-10,,,,,,,0.2090634
2010-11-17,21.64,21.64,21.64,21.64,14.63,118.0,0.0
