symbol,start_data
1PEP.MI,2025-08-02
ALV.DE,2025-08-02
BAS.DE,2025-08-02
BMED.MI,2025-08-02
CIS.BE,2025-08-02
ENEL.MI,2025-08-02
ENG.MC,2025-08-02
ENI.MI,2025-08-02
FMC1.F,2025-08-02
ISP.MI,2025-08-02
LOM.F,2025-08-02
NESN.SW,2025-08-02
NOS.LS,2025-08-02
RED.MC,2025-08-02
RUI.PA,2025-08-02
STLAM.MI,2025-08-02
TTE.PA,2025-08-02
TXN,2025-08-02
UNVB.DE,2025-08-02
LDO.MI,2025-08-02
THLEF,2025-08-02
ELE.MC,2025-08-02
TEP.PA,2025-08-02
MFEA.MI,2025-08-02
PST.MI,2025-08-02
MELE.BR,2025-08-02
PRY.MI,2025-08-02
GTR.F,2025-08-02
2PI.F,2025-08-02
CIS.BE,2025-08-02
MCP.F,2025-08-02
VNX.F,2025-08-02
ALD.DE,2025-08-02
LRC.F,2025-08-02
5UR.BE,2025-08-02
LOM.F,2025-08-02
1KT.F,2025-08-02
1GE.MI,2025-08-02
T,2025-08-02
MMM.DE,2025-08-02
AG8.F,2025-08-02
ADS.DE,2025-08-02
PUM.DE,2025-08-02
BMW.DE,2025-08-02
ZFIN.F,2025-08-02
CMAB.F,2025-08-02
ASME.DE,2025-08-02
G.MI,2025-08-02
KBX.DE,2025-08-02
PYT.VI,2025-08-02
TIFS.L,2025-08-02
FPE3.DE,2025-08-02
RHM.DE,2025-08-02
ATI.PA,2025-08-02
SHA.DE,2025-08-02
VOLV-B.ST,2025-08-02
SHL.DE,2025-08-02
EKTA-B.ST,2025-08-02
EL.PA,2025-08-02
MDT,2025-08-02
TMO,2025-08-02
BA.L,2025-08-02
HO.PA,2025-08-02
LMT,2025-08-02
GD,2025-08-02
TRN.MI,2025-08-02
RENE.LS,2025-08-02
SRG.MI,2025-08-02
ENGI.PA,2025-08-02
SVT.L,2025-08-02
CLNX.MC,2025-08-02
DPW.DE,2025-08-02
SU.PA,2025-08-02
SIE.DE,2025-08-02
FCT.MI,2025-08-02
HLAG.DE,2025-08-02
ACS.MC,2025-08-02
DG.PA,2025-08-02
HOT.DE,2025-08-02
SKA-B.ST,2025-08-02
KGX.DE,2025-08-02
SOI.PA,2025-08-02
PLTR,2025-08-02
BOL.ST,2025-08-02
CEG,2025-08-02
ISRG,2025-08-02
DSY.PA,2025-08-02
ASML.AS,2025-08-02
MRNA,2025-08-02
