date,drawdown
2020-07-20,0.0000
2020-07-21,0.0000
2020-07-22,-0.0067
2020-07-23,-0.0101
2020-07-24,-0.0205
2020-07-27,-0.0381
2020-07-28,-0.0255
2020-07-29,-0.0265
2020-07-30,-0.0620
2020-07-31,-0.0737
2020-08-03,-0.0680
2020-08-04,-0.0621
2020-08-05,-0.0489
2020-08-06,-0.0564
2020-08-07,-0.0590
2020-08-10,-0.0471
2020-08-11,-0.0326
2020-08-12,-0.0170
2020-08-13,-0.0261
2020-08-14,-0.0362
2020-08-17,-0.0435
2020-08-18,-0.0492
2020-08-19,-0.0383
2020-08-20,-0.0569
2020-08-21,-0.0644
2020-08-24,-0.0357
2020-08-25,-0.0525
2020-08-26,-0.0599
2020-08-27,-0.0698
2020-08-28,-0.0713
2020-08-31,-0.0791
2020-09-01,-0.0838
2020-09-02,-0.0792
2020-09-03,-0.0913
2020-09-04,-0.0988
2020-09-07,-0.0848
2020-09-08,-0.1040
2020-09-09,-0.0869
2020-09-10,-0.0876
2020-09-11,-0.0898
2020-09-14,-0.0954
2020-09-15,-0.0898
2020-09-16,-0.0939
2020-09-17,-0.0950
2020-09-18,-0.1142
2020-09-21,-0.1432
2020-09-22,-0.1463
2020-09-23,-0.1438
2020-09-24,-0.1472
2020-09-25,-0.1540
2020-09-28,-0.1301
2020-09-29,-0.1412
2020-09-30,-0.1505
2020-10-01,-0.1521
2020-10-02,-0.1575
2020-10-05,-0.1458
2020-10-06,-0.1439
2020-10-07,-0.1543
2020-10-08,-0.1426
2020-10-09,-0.1442
2020-10-12,-0.1439
2020-10-13,-0.1502
2020-10-14,-0.1466
2020-10-15,-0.1770
2020-10-16,-0.1726
2020-10-19,-0.1646
2020-10-20,-0.1601
2020-10-21,-0.1783
2020-10-22,-0.1752
2020-10-23,-0.1607
2020-10-26,-0.1693
2020-10-27,-0.1885
2020-10-28,-0.2106
2020-10-29,-0.2230
2020-10-30,-0.2170
2020-11-02,-0.1968
2020-11-03,-0.1850
2020-11-04,-0.1717
2020-11-05,-0.1721
2020-11-06,-0.1760
2020-11-09,-0.1213
2020-11-10,-0.0958
2020-11-11,-0.1020
2020-11-12,-0.1122
2020-11-13,-0.1054
2020-11-16,-0.0842
2020-11-17,-0.0839
2020-11-18,-0.0797
2020-11-19,-0.0800
2020-11-20,-0.0717
2020-11-23,-0.0674
2020-11-24,-0.0461
2020-11-25,-0.0401
2020-11-26,-0.0486
2020-11-27,-0.0378
2020-11-30,-0.0554
2020-12-01,-0.0607
2020-12-02,-0.0573
2020-12-03,-0.0611
2020-12-04,-0.0537
2020-12-07,-0.0473
2020-12-08,-0.0460
2020-12-09,-0.0410
2020-12-10,-0.0380
2020-12-11,-0.0491
2020-12-14,-0.0455
2020-12-15,-0.0429
2020-12-16,-0.0507
2020-12-17,-0.0680
2020-12-18,-0.0809
2020-12-21,-0.1272
2020-12-22,-0.1236
2020-12-23,-0.1060
2020-12-24,-0.1067
2020-12-28,-0.0990
2020-12-29,-0.1021
2020-12-30,-0.1062
2020-12-31,-0.1142
2021-01-04,-0.1186
2021-01-05,-0.1202
2021-01-06,-0.0961
2021-01-07,-0.0903
2021-01-08,-0.0901
2021-01-11,-0.0953
2021-01-12,-0.0940
2021-01-13,-0.0871
2021-01-14,-0.0913
2021-01-15,-0.1062
2021-01-18,-0.0977
2021-01-19,-0.0944
2021-01-20,-0.0974
2021-01-21,-0.1088
2021-01-22,-0.1195
2021-01-25,-0.1193
2021-01-26,-0.1105
2021-01-27,-0.0956
2021-01-28,-0.1085
2021-01-29,-0.1248
2021-02-01,-0.1227
2021-02-02,-0.1179
2021-02-03,-0.0999
2021-02-04,-0.0988
2021-02-05,-0.0979
2021-02-08,-0.0939
2021-02-09,-0.1001
2021-02-10,-0.0960
2021-02-11,-0.1050
2021-02-12,-0.0911
2021-02-15,-0.0786
2021-02-16,-0.0887
2021-02-17,-0.0949
2021-02-18,-0.1048
2021-02-19,-0.0985
2021-02-22,-0.0913
2021-02-23,-0.0800
2021-02-24,-0.0784
2021-02-25,-0.0732
2021-02-26,-0.0827
2021-03-01,-0.0716
2021-03-02,-0.0796
2021-03-03,-0.0743
2021-03-04,-0.0620
2021-03-05,-0.0599
2021-03-08,-0.0440
2021-03-09,-0.0406
2021-03-10,-0.0347
2021-03-11,-0.0360
2021-03-12,-0.0316
2021-03-15,-0.0316
2021-03-16,-0.0303
2021-03-17,-0.0304
2021-03-18,-0.0257
2021-03-19,-0.0297
2021-03-22,-0.0307
2021-03-23,-0.0264
2021-03-24,-0.0181
2021-03-25,-0.0238
2021-03-26,-0.0189
2021-03-29,-0.0109
2021-03-30,-0.0098
2021-03-31,-0.0078
2021-04-01,-0.0072
2021-04-05,-0.0072
2021-04-06,-0.0117
2021-04-07,-0.0029
2021-04-08,-0.0154
2021-04-09,-0.0185
2021-04-12,-0.0221
2021-04-13,-0.0218
