date,total_value,portfolio_gain,realized_gain,unrealized_gain,daily_fee,qty_ENG.MC,qty_ENI.MI,qty_ISP.MI,avg_price_ENG.MC,avg_price_ENI.MI,avg_price_ISP.MI,val_ENG.MC,val_ENI.MI,val_ISP.MI,gain_ENG.MC,gain_ENI.MI,gain_ISP.MI,dividend_event,daily_dividend_net,actions
2020-07-20,848.2800,-136.2240,0.0000,-136.2240,19.5000,22,22,90,22.2100,14.9720,1.8500,488.6200,193.1600,166.5000,0.0000,-136.2240,0.0000,0,0.0000,buy 90 ISP.MI @ 1.85; buy 22 ENI.MI @ 14.97; buy 22 ENG.MC @ 22.21
2020-07-21,852.7400,-131.7640,0.0000,-131.7640,0.0000,22,22,90,22.2100,14.9720,1.8500,487.0800,196.4600,169.2000,-1.5400,-132.9240,2.7000,0,0.0000,
2020-07-22,847.0200,-137.4840,0.0000,-137.4840,0.0000,22,22,90,22.2100,14.9720,1.8500,486.2000,191.6200,169.2000,-2.4200,-137.7640,2.7000,0,0.0000,
2020-07-23,844.1000,-140.4040,0.0000,-140.4040,0.0000,22,22,90,22.2100,14.9720,1.8500,488.4000,189.2000,166.5000,-0.2200,-140.1840,0.0000,0,0.0000,
2020-07-24,835.2400,-149.2640,0.0000,-149.2640,0.0000,22,22,90,22.2100,14.9720,1.8500,484.0000,187.4400,163.8000,-4.6200,-141.9440,-2.7000,0,0.0000,
2020-07-27,820.2400,-164.2640,0.0000,-164.2640,0.0000,22,22,90,22.2100,14.9720,1.8500,472.1200,186.1200,162.0000,-16.5000,-143.2640,-4.5000,0,0.0000,
2020-07-28,831.0000,-153.5040,0.0000,-153.5040,0.0000,22,22,90,22.2100,14.9720,1.8500,483.3400,186.5600,161.1000,-5.2800,-142.8240,-5.4000,0,0.0000,
2020-07-29,830.1200,-154.3840,0.0000,-154.3840,0.0000,22,22,90,22.2100,14.9720,1.8500,484.0000,185.0200,161.1000,-4.6200,-144.3640,-5.4000,0,0.0000,
2020-07-30,799.8800,-184.6240,0.0000,-184.6240,0.0000,22,22,90,22.2100,14.9720,1.8500,471.2400,172.0400,156.6000,-17.3800,-157.3440,-9.9000,0,0.0000,
2020-07-31,789.9200,-194.5840,0.0000,-194.5840,0.0000,22,22,90,22.2100,14.9720,1.8500,470.1400,165.8800,153.9000,-18.4800,-163.5040,-12.6000,0,0.0000,
2020-08-03,794.7600,-189.7440,0.0000,-189.7440,0.0000,22,22,90,22.2100,14.9720,1.8500,475.2000,165.6600,153.9000,-13.4200,-163.7240,-12.6000,0,0.0000,
2020-08-04,799.7600,-184.7440,0.0000,-184.7440,0.0000,22,22,90,22.2100,14.9720,1.8500,465.7400,172.9200,161.1000,-22.8800,-156.4640,-5.4000,0,0.0000,
2020-08-05,811.0600,-173.4440,0.0000,-173.4440,0.0000,22,22,90,22.2100,14.9720,1.8500,468.1600,178.2000,164.7000,-20.4600,-151.1840,-1.8000,0,0.0000,
2020-08-06,804.6400,-179.8640,0.0000,-179.8640,0.0000,22,22,90,22.2100,14.9720,1.8500,467.0600,174.6800,162.9000,-21.5600,-154.7040,-3.6000,0,0.0000,
2020-08-07,802.4400,-182.0640,0.0000,-182.0640,0.0000,22,22,90,22.2100,14.9720,1.8500,467.7200,171.8200,162.9000,-20.9000,-157.5640,-3.6000,0,0.0000,
2020-08-10,812.5600,-171.9440,0.0000,-171.9440,0.0000,22,22,90,22.2100,14.9720,1.8500,473.8800,175.7800,162.9000,-14.7400,-153.6040,-3.6000,0,0.0000,
2020-08-11,824.9800,-159.5240,0.0000,-159.5240,0.0000,22,22,90,22.2100,14.9720,1.8500,476.3000,181.2800,167.4000,-12.3200,-148.1040,0.9000,0,0.0000,
2020-08-12,838.2200,-146.2840,0.0000,-146.2840,0.0000,22,22,90,22.2100,14.9720,1.8500,484.8800,184.1400,169.2000,-3.7400,-145.2440,2.7000,0,0.0000,
2020-08-13,830.5000,-154.0040,0.0000,-154.0040,0.0000,22,22,90,22.2100,14.9720,1.8500,480.9200,181.2800,168.3000,-7.7000,-148.1040,1.8000,0,0.0000,
2020-08-14,821.8800,-162.6240,0.0000,-162.6240,0.0000,22,22,90,22.2100,14.9720,1.8500,475.4200,179.9600,166.5000,-13.2000,-149.4240,0.0000,0,0.0000,
2020-08-17,815.6600,-168.8440,0.0000,-168.8440,0.0000,22,22,90,22.2100,14.9720,1.8500,473.6600,178.2000,163.8000,-14.9600,-151.1840,-2.7000,0,0.0000,
2020-08-18,810.8000,-173.7040,0.0000,-173.7040,0.0000,22,22,90,22.2100,14.9720,1.8500,470.8000,177.1000,162.9000,-17.8200,-152.2840,-3.6000,0,0.0000,
2020-08-19,820.1200,-164.3840,0.0000,-164.3840,0.0000,22,22,90,22.2100,14.9720,1.8500,474.7600,178.8600,166.5000,-13.8600,-150.5240,0.0000,0,0.0000,
2020-08-20,804.2200,-180.2840,0.0000,-180.2840,0.0000,22,22,90,22.2100,14.9720,1.8500,465.9600,174.4600,163.8000,-22.6600,-154.9240,-2.7000,0,0.0000,
2020-08-21,797.8200,-186.6840,0.0000,-186.6840,0.0000,22,22,90,22.2100,14.9720,1.8500,461.7800,173.1400,162.9000,-26.8400,-156.2440,-3.6000,0,0.0000,
2020-08-24,822.3000,-162.2040,0.0000,-162.2040,0.0000,22,22,90,22.2100,14.9720,1.8500,476.5200,180.1800,165.6000,-12.1000,-149.2040,-0.9000,0,0.0000,
2020-08-25,807.9800,-176.5240,0.0000,-176.5240,0.0000,22,22,90,22.2100,14.9720,1.8500,465.5200,177.7600,164.7000,-23.1000,-151.6240,-1.8000,0,0.0000,
2020-08-26,801.6200,-182.8840,0.0000,-182.8840,0.0000,22,22,90,22.2100,14.9720,1.8500,457.8200,178.2000,165.6000,-30.8000,-151.1840,-0.9000,0,0.0000,
2020-08-27,793.1800,-191.3240,0.0000,-191.3240,0.0000,22,22,90,22.2100,14.9720,1.8500,455.4000,175.7800,162.0000,-33.2200,-153.6040,-4.5000,0,0.0000,
2020-08-28,791.9200,-192.5840,0.0000,-192.5840,0.0000,22,22,90,22.2100,14.9720,1.8500,452.1000,175.1200,164.7000,-36.5200,-154.2640,-1.8000,0,0.0000,
2020-08-31,785.2800,-199.2240,0.0000,-199.2240,0.0000,22,22,90,22.2100,14.9720,1.8500,450.7800,171.6000,162.9000,-37.8400,-157.7840,-3.6000,0,0.0000,
2020-09-01,781.3000,-203.2040,0.0000,-203.2040,0.0000,22,22,90,22.2100,14.9720,1.8500,448.1400,171.1600,162.0000,-40.4800,-158.2240,-4.5000,0,0.0000,
2020-09-02,785.2400,-199.2640,0.0000,-199.2640,0.0000,22,22,90,22.2100,14.9720,1.8500,455.1800,168.9600,161.1000,-33.4400,-160.4240,-5.4000,0,0.0000,
2020-09-03,774.8800,-209.6240,0.0000,-209.6240,0.0000,22,22,90,22.2100,14.9720,1.8500,445.2800,169.4000,160.2000,-43.3400,-159.9840,-6.3000,0,0.0000,
2020-09-04,768.5000,-216.0040,0.0000,-216.0040,0.0000,22,22,90,22.2100,14.9720,1.8500,440.2200,168.0800,160.2000,-48.4000,-161.3040,-6.3000,0,0.0000,
2020-09-07,780.4000,-204.1040,0.0000,-204.1040,0.0000,22,22,90,22.2100,14.9720,1.8500,448.3600,170.9400,161.1000,-40.2600,-158.4440,-5.4000,0,0.0000,
2020-09-08,764.0600,-220.4440,0.0000,-220.4440,0.0000,22,22,90,22.2100,14.9720,1.8500,440.2200,165.4400,158.4000,-48.4000,-163.9440,-8.1000,0,0.0000,
2020-09-09,778.6400,-205.8640,0.0000,-205.8640,0.0000,22,22,90,22.2100,14.9720,1.8500,449.6800,167.8600,161.1000,-38.9400,-161.5240,-5.4000,0,0.0000,
2020-09-10,778.0000,-206.5040,0.0000,-206.5040,0.0000,22,22,90,22.2100,14.9720,1.8500,448.1400,167.8600,162.0000,-40.4800,-161.5240,-4.5000,0,0.0000,
2020-09-11,776.2000,-208.3040,0.0000,-208.3040,0.0000,22,22,90,22.2100,14.9720,1.8500,448.8000,167.2000,160.2000,-39.8200,-162.1840,-6.3000,0,0.0000,
2020-09-14,771.3600,-213.1440,0.0000,-213.1440,0.0000,22,22,90,22.2100,14.9720,1.8500,446.6000,164.5600,160.2000,-42.0200,-164.8240,-6.3000,0,0.0000,
2020-09-15,776.1800,-208.3240,0.0000,-208.3240,0.0000,22,22,90,22.2100,14.9720,1.8500,449.4600,167.4200,159.3000,-39.1600,-161.9640,-7.2000,0,0.0000,
2020-09-16,772.6400,-211.8640,0.0000,-211.8640,0.0000,22,22,90,22.2100,14.9720,1.8500,445.9400,168.3000,158.4000,-42.6800,-161.0840,-8.1000,0,0.0000,
2020-09-17,771.7200,-212.7840,0.0000,-212.7840,0.0000,22,22,90,22.2100,14.9720,1.8500,448.1400,166.9800,156.6000,-40.4800,-162.4040,-9.9000,0,0.0000,
2020-09-18,755.3800,-229.1240,0.0000,-229.1240,0.0000,22,22,90,22.2100,14.9720,1.8500,438.9000,162.5800,153.9000,-49.7200,-166.8040,-12.6000,0,0.0000,
