symbol,period_type,period,net_dividends,average_value,net_yield_pct
ENG.MC,quarter,2020Q3,0.0000,460.0034,0.0000
ENG.MC,quarter,2020Q4,10.3488,428.5465,2.4149
ENG.MC,quarter,2021Q1,0.0000,394.8092,0.0000
ENG.MC,quarter,2021Q2,0.0000,417.6872,0.0000
ENG.MC,quarter,2021Q3,15.5232,421.9100,3.6793
ENG.MC,quarter,2021Q4,10.4720,439.1600,2.3846
ENG.MC,quarter,2022Q1,0.0000,428.5875,0.0000
ENG.MC,quarter,2022Q2,0.0000,463.7428,0.0000
ENG.MC,quarter,2022Q3,15.7080,409.0500,3.8401
ENG.MC,quarter,2022Q4,10.5952,360.4116,2.9398
ENG.MC,quarter,2023Q1,0.0000,370.0028,0.0000
ENG.MC,quarter,2023Q2,0.0000,397.1069,0.0000
ENG.MC,quarter,2023Q3,15.8928,350.6292,4.5327
ENG.MC,quarter,2023Q4,10.7184,355.3688,3.0161
ENG.MC,quarter,2024Q1,0.0000,317.5752,0.0000
ENG.MC,quarter,2024Q2,0.0000,308.5957,0.0000
ENG.MC,quarter,2024Q3,16.0776,300.5900,5.3487
ENG.MC,quarter,2024Q4,6.1600,282.9742,2.1769
ENG.MC,quarter,2025Q1,0.0000,271.3263,0.0000
ENG.MC,quarter,2025Q2,0.0000,301.3691,0.0000
ENG.MC,quarter,2025Q3,0.0000,292.9833,0.0000
ENG.MC,year,2020,10.3488,442.6754,2.3378
ENG.MC,year,2021,25.9952,418.6702,6.2090
ENG.MC,year,2022,26.3032,415.3984,6.3320
ENG.MC,year,2023,26.6112,368.2152,7.2271
ENG.MC,year,2024,22.2376,302.3097,7.3559
ENG.MC,year,2025,0.0000,287.8102,0.0000
ENI.MI,quarter,2020Q3,1.9536,171.8615,1.1367
ENI.MI,quarter,2020Q4,0.0000,167.3760,0.0000
ENI.MI,quarter,2021Q1,0.0000,205.3298,0.0000
ENI.MI,quarter,2021Q2,3.9072,227.1672,1.7200
ENI.MI,quarter,2021Q3,7.0004,228.0567,3.0696
ENI.MI,quarter,2021Q4,0.0000,268.4233,0.0000
ENI.MI,quarter,2022Q1,0.0000,291.4794,0.0000
ENI.MI,quarter,2022Q2,7.0004,294.2706,2.3789
ENI.MI,quarter,2022Q3,3.5816,251.9933,1.4213
ENI.MI,quarter,2022Q4,3.5816,290.5788,1.2326
ENI.MI,quarter,2023Q1,3.5816,300.3271,1.1926
ENI.MI,quarter,2023Q2,3.5816,292.1978,1.2257
ENI.MI,quarter,2023Q3,3.9072,311.9025,1.2527
ENI.MI,quarter,2023Q4,3.7444,332.9391,1.1247
ENI.MI,quarter,2024Q1,3.9072,321.2943,1.2161
ENI.MI,quarter,2024Q2,3.7444,323.7994,1.1564
ENI.MI,quarter,2024Q3,4.0700,314.0167,1.2961
ENI.MI,quarter,2024Q4,4.0700,301.9178,1.3480
ENI.MI,quarter,2025Q1,4.0700,304.7489,1.3355
ENI.MI,quarter,2025Q2,4.0700,287.6431,1.4149
ENI.MI,quarter,2025Q3,0.0000,317.4947,0.0000
ENI.MI,year,2020,1.9536,169.3907,1.1533
ENI.MI,year,2021,10.9076,232.5952,4.6895
ENI.MI,year,2022,14.1636,281.8473,5.0253
ENI.MI,year,2023,14.8148,309.3166,4.7895
ENI.MI,year,2024,15.7916,315.2056,5.0099
ENI.MI,year,2025,8.1400,300.5354,2.7085
ISP.MI,quarter,2020Q3,0.0000,159.8434,0.0000
ISP.MI,quarter,2020Q4,0.0000,159.2308,0.0000
ISP.MI,quarter,2021Q1,0.0000,187.7857,0.0000
ISP.MI,quarter,2021Q2,2.3776,211.8656,1.1222
ISP.MI,quarter,2021Q3,0.0000,212.0182,0.0000
ISP.MI,quarter,2021Q4,11.4352,212.7273,5.3755
ISP.MI,quarter,2022Q1,0.0000,215.8875,0.0000
ISP.MI,quarter,2022Q2,5.2547,175.0078,3.0026
ISP.MI,quarter,2022Q3,0.0000,158.1955,0.0000
ISP.MI,quarter,2022Q4,4.9151,179.8313,2.7332
ISP.MI,quarter,2023Q1,0.0000,214.1446,0.0000
ISP.MI,quarter,2023Q2,6.0007,213.0750,2.8162
ISP.MI,quarter,2023Q3,0.0000,221.5938,0.0000
ISP.MI,quarter,2023Q4,9.5904,228.9937,4.1881
ISP.MI,quarter,2024Q1,0.0000,264.1571,0.0000
ISP.MI,quarter,2024Q2,10.1232,314.6677,3.2171
ISP.MI,quarter,2024Q3,0.0000,328.6909,0.0000
ISP.MI,quarter,2024Q4,11.3220,345.1154,3.2806
ISP.MI,quarter,2025Q1,0.0000,400.3286,0.0000
ISP.MI,quarter,2025Q2,11.3886,423.4641,2.6894
ISP.MI,quarter,2025Q3,0.0000,457.2873,0.0000
ISP.MI,year,2020,0.0000,159.5059,0.0000
ISP.MI,year,2021,13.8128,206.2668,6.6966
ISP.MI,year,2022,10.1698,182.0442,5.5865
ISP.MI,year,2023,15.5911,219.4395,7.1049
ISP.MI,year,2024,21.4452,313.5961,6.8385
ISP.MI,year,2025,11.3886,421.3305,2.7030
