month,total,ENG.MC,ENI.MI,ISP.MI
2020-09,1.95,0.00,1.95,0.00
2020-12,10.35,10.35,0.00,0.00
2021-05,6.29,0.00,3.91,2.38
2021-07,15.52,15.52,0.00,0.00
2021-09,7.00,0.00,7.00,0.00
2021-10,6.63,0.00,0.00,6.63
2021-11,4.80,0.00,0.00,4.80
2021-12,10.47,10.47,0.00,0.00
2022-05,12.25,0.00,7.00,5.25
2022-07,15.71,15.71,0.00,0.00
2022-09,3.58,0.00,3.58,0.00
2022-11,8.50,0.00,3.58,4.92
2022-12,10.60,10.60,0.00,0.00
2023-03,3.58,0.00,3.58,0.00
2023-05,9.58,0.00,3.58,6.00
2023-07,15.89,15.89,0.00,0.00
2023-09,3.91,0.00,3.91,0.00
2023-11,13.33,0.00,3.74,9.59
2023-12,10.72,10.72,0.00,0.00
2024-03,3.91,0.00,3.91,0.00
2024-05,13.86,0.00,3.74,10.12
2024-07,16.08,16.08,0.00,0.00
2024-09,4.07,0.00,4.07,0.00
2024-11,15.39,0.00,4.07,11.32
2024-12,6.16,6.16,0.00,0.00
2025-03,4.07,0.00,4.07,0.00
2025-05,15.46,0.00,4.07,11.39
