month,first_value,last_value,perf_abs,perf_pct,dividends,contributions,reinvested,realized_gain,fees,total_stocks_held
2020-07-01,848.2800,789.9200,-58.3600,-6.8798,0.0000,984.5040,0.0000,0.0000,19.5000,134
2020-08-01,794.7600,785.2800,-9.4800,-1.1928,0.0000,0.0000,0.0000,0.0000,0.0000,134
2020-09-01,781.3000,724.3600,-56.9400,-7.2879,1.9536,0.0000,0.0000,0.0000,0.0000,134
2020-10-01,723.0200,667.6800,-55.3400,-7.6540,0.0000,0.0000,0.0000,0.0000,0.0000,134
2020-11-01,684.9600,805.5400,120.5800,17.6039,0.0000,0.0000,0.0000,0.0000,0.0000,134
2020-12-01,801.0200,755.3400,-45.6800,-5.7027,10.3488,0.0000,0.0000,0.0000,0.0000,134
2021-01-01,751.6000,746.3400,-5.2600,-0.6998,0.0000,0.0000,0.0000,0.0000,0.0000,134
2021-02-01,748.1200,782.1800,34.0600,4.5527,0.0000,0.0000,0.0000,0.0000,0.0000,134
2021-03-01,791.7000,846.1200,54.4200,6.8738,0.0000,0.0000,0.0000,0.0000,0.0000,134
2021-04-01,846.5800,825.9000,-20.6800,-2.4428,0.0000,0.0000,0.0000,0.0000,0.0000,134
2021-05-01,832.9600,862.1800,29.2200,3.5080,6.2848,0.0000,0.0000,0.0000,0.0000,134
2021-06-01,871.0400,864.4200,-6.6200,-0.7600,0.0000,0.0000,0.0000,0.0000,0.0000,134
2021-07-01,875.2600,856.0600,-19.2000,-2.1936,15.5232,0.0000,0.0000,0.0000,0.0000,134
2021-08-01,856.9000,869.6200,12.7200,1.4844,0.0000,0.0000,0.0000,0.0000,0.0000,134
2021-09-01,877.5800,897.0000,19.4200,2.2129,7.0004,0.0000,0.0000,0.0000,0.0000,134
2021-10-01,896.5600,921.2200,24.6600,2.7505,6.6334,0.0000,0.0000,0.0000,0.0000,134
2021-11-01,935.5800,888.8600,-46.7200,-4.9937,4.8019,0.0000,0.0000,0.0000,0.0000,134
2021-12-01,901.5000,921.9400,20.4400,2.2673,10.4720,0.0000,0.0000,0.0000,0.0000,134
2022-01-01,931.1200,951.0200,19.9000,2.1372,0.0000,0.0000,0.0000,0.0000,0.0000,134
2022-02-01,962.1200,926.6000,-35.5200,-3.6918,0.0000,0.0000,0.0000,0.0000,0.0000,134
2022-03-01,922.5200,922.8800,0.3600,0.0390,0.0000,0.0000,0.0000,0.0000,0.0000,134
